Matrix,Cores,Iterations,Runtime
0-0_N1008246.bin,72,2880,2.75685
0-0_N17284220.bin,72,180,12.0964
0-0_N201649.bin,72,14400,1.08025
0-0_N2880703.bin,72,1080,8.54703
0-0_N28807.bin,72,36000,1.03275
0-0_N432105.bin,72,5400,0.820922
0-0_N8642110.bin,72,360,11.5235
0-5_N1008246.bin,72,2880,5.19237
0-5_N17284220.bin,72,180,34.3449
0-5_N201649.bin,72,14400,1.79994
0-5_N2880703.bin,72,1080,10.1826
0-5_N28807.bin,72,36000,1.03133
0-5_N432105.bin,72,5400,1.43697
0-5_N8642110.bin,72,360,22.5996
1-0_N1008246.bin,72,2880,5.47589
1-0_N17284220.bin,72,180,50.681
1-0_N201649.bin,72,14400,2.09146
1-0_N2880703.bin,72,1080,10.4964
1-0_N28807.bin,72,36000,1.14016
1-0_N432105.bin,72,5400,1.7343
1-0_N8642110.bin,72,360,37.8432
