Matrix,Cores,Iterations,Runtime
0-0_N1008246.bin,1,80,1.51675
0-0_N1008246.bin,4,160,1.56967
0-0_N1008246.bin,8,320,3.21888
0-0_N1008246.bin,24,960,3.32036
0-0_N1008246.bin,48,1920,4.33132
0-0_N1008246.bin,96,3840,1.09783
0-0_N17284220.bin,1,5,1.63816
0-0_N17284220.bin,4,10,1.69061
0-0_N17284220.bin,8,20,3.36488
0-0_N17284220.bin,24,60,4.40818
0-0_N17284220.bin,48,120,8.47545
0-0_N17284220.bin,96,240,15.1046
0-0_N201649.bin,1,400,1.51098
0-0_N201649.bin,4,800,1.02311
0-0_N201649.bin,8,1600,2.01296
0-0_N201649.bin,24,4800,0.780376
0-0_N201649.bin,48,9600,0.891551
0-0_N201649.bin,96,19200,1.42342
0-0_N2880703.bin,1,30,1.62516
0-0_N2880703.bin,4,60,1.69041
0-0_N2880703.bin,8,120,3.36445
0-0_N2880703.bin,24,360,4.3957
0-0_N2880703.bin,48,720,7.48903
0-0_N2880703.bin,96,1440,9.12767
0-0_N28807.bin,1,1000,0.529814
0-0_N28807.bin,4,2000,0.268083
0-0_N28807.bin,8,4000,0.273568
0-0_N28807.bin,24,12000,0.351565
0-0_N28807.bin,48,24000,0.60093
0-0_N28807.bin,96,48000,1.63531
0-0_N432105.bin,1,150,1.21838
0-0_N432105.bin,4,300,1.08911
0-0_N432105.bin,8,600,2.15871
0-0_N432105.bin,24,1800,1.46956
0-0_N432105.bin,48,3600,0.652301
0-0_N432105.bin,96,7200,1.00595
0-0_N8642110.bin,1,10,1.6274
0-0_N8642110.bin,4,20,1.73591
0-0_N8642110.bin,8,40,3.45596
0-0_N8642110.bin,24,120,4.45235
0-0_N8642110.bin,48,240,8.43114
0-0_N8642110.bin,96,480,13.9766
0-5_N1008246.bin,1,80,3.07443
0-5_N1008246.bin,4,160,1.68218
0-5_N1008246.bin,8,320,3.19523
0-5_N1008246.bin,24,960,3.5479
0-5_N1008246.bin,48,1920,5.29428
0-5_N1008246.bin,96,3840,4.37587
0-5_N17284220.bin,1,5,15.7509
0-5_N17284220.bin,4,10,8.45975
0-5_N17284220.bin,8,20,11.4849
0-5_N17284220.bin,24,60,13.4129
0-5_N17284220.bin,48,120,24.8062
0-5_N17284220.bin,96,240,41.6769
0-5_N201649.bin,1,400,2.73462
0-5_N201649.bin,4,800,1.36872
0-5_N201649.bin,8,1600,2.15253
0-5_N201649.bin,24,4800,1.39791
0-5_N201649.bin,48,9600,1.49798
0-5_N201649.bin,96,19200,2.19134
0-5_N2880703.bin,1,30,7.00625
0-5_N2880703.bin,4,60,2.20359
0-5_N2880703.bin,8,120,3.50088
0-5_N2880703.bin,24,360,4.5217
0-5_N2880703.bin,48,720,8.5765
0-5_N2880703.bin,96,1440,9.57293
0-5_N28807.bin,1,1000,0.585212
0-5_N28807.bin,4,2000,0.299364
0-5_N28807.bin,8,4000,0.300716
0-5_N28807.bin,24,12000,0.382659
0-5_N28807.bin,48,24000,0.642104
0-5_N28807.bin,96,48000,1.53539
0-5_N432105.bin,1,150,2.39086
0-5_N432105.bin,4,300,1.20321
0-5_N432105.bin,8,600,2.4009
0-5_N432105.bin,24,1800,1.78591
0-5_N432105.bin,48,3600,1.22131
0-5_N432105.bin,96,7200,1.63943
0-5_N8642110.bin,1,10,14.9389
0-5_N8642110.bin,4,20,7.75699
0-5_N8642110.bin,8,40,9.29731
0-5_N8642110.bin,24,120,11.3244
0-5_N8642110.bin,48,240,19.1836
0-5_N8642110.bin,96,480,31.4552
1-0_N1008246.bin,1,80,3.73041
1-0_N1008246.bin,4,160,1.89254
1-0_N1008246.bin,8,320,3.14292
1-0_N1008246.bin,24,960,3.45423
1-0_N1008246.bin,48,1920,5.22959
1-0_N1008246.bin,96,3840,4.65532
1-0_N17284220.bin,1,5,20.1882
1-0_N17284220.bin,4,10,10.9297
1-0_N17284220.bin,8,20,16.9391
1-0_N17284220.bin,24,60,20.4449
1-0_N17284220.bin,48,120,38.3453
1-0_N17284220.bin,96,240,55.8195
1-0_N201649.bin,1,400,3.11186
1-0_N201649.bin,4,800,1.57316
1-0_N201649.bin,8,1600,2.1038
1-0_N201649.bin,24,4800,1.55747
1-0_N201649.bin,48,9600,1.66458
1-0_N201649.bin,96,19200,2.44641
1-0_N2880703.bin,1,30,6.83547
1-0_N2880703.bin,4,60,2.5089
1-0_N2880703.bin,8,120,3.51406
1-0_N2880703.bin,24,360,4.42681
1-0_N2880703.bin,48,720,8.51996
1-0_N2880703.bin,96,1440,11.0319
1-0_N28807.bin,1,1000,0.601833
1-0_N28807.bin,4,2000,0.308524
1-0_N28807.bin,8,4000,0.307866
1-0_N28807.bin,24,12000,0.390243
1-0_N28807.bin,48,24000,0.643576
1-0_N28807.bin,96,48000,1.76378
1-0_N432105.bin,1,150,2.79463
1-0_N432105.bin,4,300,1.39898
1-0_N432105.bin,8,600,2.24643
1-0_N432105.bin,24,1800,1.80461
1-0_N432105.bin,48,3600,1.37543
1-0_N432105.bin,96,7200,1.91652
1-0_N8642110.bin,1,10,19.2545
1-0_N8642110.bin,4,20,9.97869
1-0_N8642110.bin,8,40,12.8338
1-0_N8642110.bin,24,120,15.8922
1-0_N8642110.bin,48,240,28.6261
1-0_N8642110.bin,96,480,50.369
