Matrix,Cores,Run,Type,Iteration,Runtime,Gflops
0-0_N1008246.bin,24,1,IO_LOAD,1,0.0526159,0
0-0_N1008246.bin,24,1,ITER,1,0.00532405,11.3625
0-0_N1008246.bin,24,1,ITER,2,0.00430415,14.055
0-0_N1008246.bin,24,1,ITER,3,0.00423389,14.2882
0-0_N1008246.bin,24,1,ITER,4,0.00385297,15.7008
0-0_N1008246.bin,24,1,ITER,5,0.00362377,16.6939
0-0_N1008246.bin,24,1,ITER,6,0.0035648,16.97
0-0_N1008246.bin,24,1,ITER,7,0.0034743,17.4121
0-0_N1008246.bin,24,1,ITER,8,0.00345115,17.5289
0-0_N1008246.bin,24,1,ITER,9,0.00346231,17.4723
0-0_N1008246.bin,24,1,ITER,10,0.00344182,17.5764
0-0_N1008246.bin,24,1,ITER,11,0.00343419,17.6154
0-0_N1008246.bin,24,1,ITER,12,0.00344749,17.5475
0-0_N1008246.bin,24,1,ITER,13,0.00344593,17.5554
0-0_N1008246.bin,24,1,ITER,14,0.00348216,17.3728
0-0_N1008246.bin,24,1,ITER,15,0.00342912,17.6415
0-0_N1008246.bin,24,1,ITER,16,0.00347534,17.4068
0-0_N1008246.bin,24,1,ITER,17,0.0034369,17.6016
0-0_N1008246.bin,24,1,ITER,18,0.00342801,17.6472
0-0_N1008246.bin,24,1,ITER,19,0.00341893,17.6941
0-0_N1008246.bin,24,1,ITER,20,0.00347984,17.3844
0-0_N1008246.bin,24,1,ITER,21,0.00345762,17.4961
0-0_N1008246.bin,24,1,ITER,22,0.00345494,17.5096
0-0_N1008246.bin,24,1,ITER,23,0.00342315,17.6723
0-0_N1008246.bin,24,1,ITER,24,0.00345841,17.4921
0-0_N1008246.bin,24,1,ITER,25,0.00343852,17.5933
0-0_N1008246.bin,24,1,ITER,26,0.00343106,17.6315
0-0_N1008246.bin,24,1,ITER,27,0.00344447,17.5629
0-0_N1008246.bin,24,1,ITER,28,0.00344145,17.5783
0-0_N1008246.bin,24,1,ITER,29,0.00345032,17.5331
0-0_N1008246.bin,24,1,ITER,30,0.00341552,17.7117
0-0_N1008246.bin,24,1,ITER,31,0.00343885,17.5916
0-0_N1008246.bin,24,1,ITER,32,0.00339725,17.807
0-0_N1008246.bin,24,1,ITER,33,0.00343575,17.6074
0-0_N1008246.bin,24,1,ITER,34,0.00341957,17.6907
0-0_N1008246.bin,24,1,ITER,35,0.00342821,17.6461
0-0_N1008246.bin,24,1,ITER,36,0.00341427,17.7182
0-0_N1008246.bin,24,1,ITER,37,0.00343557,17.6083
0-0_N1008246.bin,24,1,ITER,38,0.00341661,17.7061
0-0_N1008246.bin,24,1,ITER,39,0.00341819,17.6979
0-0_N1008246.bin,24,1,ITER,40,0.00342991,17.6374
0-0_N1008246.bin,24,1,ITER,41,0.00343679,17.6021
0-0_N1008246.bin,24,1,ITER,42,0.00344833,17.5432
0-0_N1008246.bin,24,1,ITER,43,0.00342284,17.6738
0-0_N1008246.bin,24,1,ITER,44,0.00341062,17.7372
0-0_N1008246.bin,24,1,ITER,45,0.00344806,17.5446
0-0_N1008246.bin,24,1,ITER,46,0.00343564,17.608
0-0_N1008246.bin,24,1,ITER,47,0.00343847,17.5935
0-0_N1008246.bin,24,1,ITER,48,0.00341496,17.7146
0-0_N1008246.bin,24,1,ITER,49,0.00342489,17.6633
0-0_N1008246.bin,24,1,ITER,50,0.00340642,17.759
0-0_N1008246.bin,24,1,ITER,51,0.00343539,17.6093
0-0_N1008246.bin,24,1,ITER,52,0.00342203,17.678
0-0_N1008246.bin,24,1,ITER,53,0.0034256,17.6596
0-0_N1008246.bin,24,1,ITER,54,0.00342498,17.6628
