Mode,NUMA,Bench,Size,CPUs,Run,MBps
Native,default,peakflops,20MB,8,1,24972.28
Native,default,peakflops,20MB,8,2,24951.72
Native,default,peakflops,20MB,8,3,24941.62
Native,default,peakflops,20MB,24,1,74887.45
Native,default,peakflops,20MB,24,2,73768.51
Native,default,peakflops,20MB,24,3,74936.87
Native,default,peakflops,20MB,48,1,146907.37
Native,default,peakflops,20MB,48,2,149474.63
Native,default,peakflops,20MB,48,3,142833.95
Native,default,peakflops,1GB,8,1,24775.36
Native,default,peakflops,1GB,8,2,24782.56
Native,default,peakflops,1GB,8,3,24789.18
Native,default,peakflops,1GB,24,1,74319.25
Native,default,peakflops,1GB,24,2,74312.82
Native,default,peakflops,1GB,24,3,74348.81
Native,default,peakflops,1GB,48,1,101431.83
Native,default,peakflops,1GB,48,2,100411.61
Native,default,peakflops,1GB,48,3,100701.75
Native,default,triad,20MB,8,1,348422.75
Native,default,triad,20MB,8,2,362251.92
Native,default,triad,20MB,8,3,354344.63
Native,default,triad,20MB,24,1,1007791.85
Native,default,triad,20MB,24,2,1047473.82
Native,default,triad,20MB,24,3,1019208.77
Native,default,triad,20MB,48,1,2019907.32
Native,default,triad,20MB,48,2,2015410.40
Native,default,triad,20MB,48,3,1966082.98
Native,default,triad,1GB,8,1,39961.83
Native,default,triad,1GB,8,2,40800.59
Native,default,triad,1GB,8,3,40795.83
Native,default,triad,1GB,24,1,74928.52
Native,default,triad,1GB,24,2,75447.66
Native,default,triad,1GB,24,3,74860.44
Native,default,triad,1GB,48,1,105649.96
Native,default,triad,1GB,48,2,99091.89
Native,default,triad,1GB,48,3,103767.24
Native,default,copy_mem,20MB,8,1,56423.51
Native,default,copy_mem,20MB,8,2,56406.73
Native,default,copy_mem,20MB,8,3,56414.51
Native,default,copy_mem,20MB,24,1,166763.77
Native,default,copy_mem,20MB,24,2,167152.88
Native,default,copy_mem,20MB,24,3,167808.98
Native,default,copy_mem,20MB,48,1,185846.94
Native,default,copy_mem,20MB,48,2,185819.95
Native,default,copy_mem,20MB,48,3,184447.21
Native,default,copy_mem,1GB,8,1,54665.21
Native,default,copy_mem,1GB,8,2,54696.27
Native,default,copy_mem,1GB,8,3,53920.32
Native,default,copy_mem,1GB,24,1,96110.07
Native,default,copy_mem,1GB,24,2,95315.12
Native,default,copy_mem,1GB,24,3,96156.23
Native,default,copy_mem,1GB,48,1,109466.36
Native,default,copy_mem,1GB,48,2,107902.16
Native,default,copy_mem,1GB,48,3,109407.05
SME,default,peakflops,20MB,8,1,24962.63
SME,default,peakflops,20MB,8,2,24951.62
SME,default,peakflops,20MB,8,3,24931.38
SME,default,peakflops,20MB,24,1,74980.91
SME,default,peakflops,20MB,24,2,74861.00
SME,default,peakflops,20MB,24,3,75112.87
SME,default,peakflops,20MB,48,1,142833.13
SME,default,peakflops,20MB,48,2,142871.45
SME,default,peakflops,20MB,48,3,144523.33
SME,default,peakflops,1GB,8,1,24790.74
SME,default,peakflops,1GB,8,2,24808.07
SME,default,peakflops,1GB,8,3,24814.60
SME,default,peakflops,1GB,24,1,74402.48
SME,default,peakflops,1GB,24,2,74390.73
SME,default,peakflops,1GB,24,3,74362.14
SME,default,peakflops,1GB,48,1,100027.31
SME,default,peakflops,1GB,48,2,100812.94
SME,default,peakflops,1GB,48,3,98294.48
SME,default,triad,20MB,8,1,358975.55
SME,default,triad,20MB,8,2,357729.80
SME,default,triad,20MB,8,3,357185.74
SME,default,triad,20MB,24,1,1042453.77
SME,default,triad,20MB,24,2,1030851.26
SME,default,triad,20MB,24,3,1044730.48
SME,default,triad,20MB,48,1,2099940.31
SME,default,triad,20MB,48,2,2085077.81
SME,default,triad,20MB,48,3,2086253.38
SME,default,triad,1GB,8,1,40837.06
SME,default,triad,1GB,8,2,40048.09
SME,default,triad,1GB,8,3,40812.24
SME,default,triad,1GB,24,1,75192.40
SME,default,triad,1GB,24,2,75271.01
SME,default,triad,1GB,24,3,75473.71
SME,default,triad,1GB,48,1,108291.33
SME,default,triad,1GB,48,2,95774.90
SME,default,triad,1GB,48,3,107324.24
SME,default,copy_mem,20MB,8,1,56433.12
SME,default,copy_mem,20MB,8,2,56500.69
SME,default,copy_mem,20MB,8,3,56508.87
SME,default,copy_mem,20MB,24,1,167259.90
SME,default,copy_mem,20MB,24,2,164879.50
SME,default,copy_mem,20MB,24,3,167671.04
SME,default,copy_mem,20MB,48,1,183943.82
SME,default,copy_mem,20MB,48,2,185533.06
SME,default,copy_mem,20MB,48,3,185400.97
SME,default,copy_mem,1GB,8,1,54608.45
SME,default,copy_mem,1GB,8,2,54611.89
SME,default,copy_mem,1GB,8,3,54621.92
SME,default,copy_mem,1GB,24,1,95889.65
SME,default,copy_mem,1GB,24,2,95579.51
SME,default,copy_mem,1GB,24,3,95878.03
SME,default,copy_mem,1GB,48,1,108340.76
SME,default,copy_mem,1GB,48,2,108009.45
SME,default,copy_mem,1GB,48,3,109526.18
SEV,interleave,peakflops,20MB,8,1,24906.43
SEV,interleave,peakflops,20MB,8,2,24930.04
SEV,interleave,peakflops,20MB,8,3,24949.16
SEV,interleave,peakflops,20MB,24,1,75003.10
SEV,interleave,peakflops,20MB,24,2,74728.75
SEV,interleave,peakflops,20MB,24,3,74693.87
SEV,interleave,peakflops,20MB,48,1,146535.17
SEV,interleave,peakflops,20MB,48,2,149130.09
SEV,interleave,peakflops,20MB,48,3,147270.92
SEV,interleave,peakflops,1GB,8,1,24786.91
SEV,interleave,peakflops,1GB,8,2,24802.47
SEV,interleave,peakflops,1GB,8,3,24797.52
SEV,interleave,peakflops,1GB,24,1,74401.34
SEV,interleave,peakflops,1GB,24,2,74403.81
SEV,interleave,peakflops,1GB,24,3,74376.70
SEV,interleave,peakflops,1GB,48,1,148398.91
SEV,interleave,peakflops,1GB,48,2,148292.39
SEV,interleave,peakflops,1GB,48,3,148210.27
SEV,interleave,triad,20MB,8,1,358856.27
SEV,interleave,triad,20MB,8,2,357904.21
SEV,interleave,triad,20MB,8,3,355442.59
SEV,interleave,triad,20MB,24,1,1017596.79
SEV,interleave,triad,20MB,24,2,1010822.18
SEV,interleave,triad,20MB,24,3,1041394.56
SEV,interleave,triad,20MB,48,1,2018230.23
SEV,interleave,triad,20MB,48,2,2018868.25
SEV,interleave,triad,20MB,48,3,2026768.92
SEV,interleave,triad,1GB,8,1,40347.81
SEV,interleave,triad,1GB,8,2,40322.70
SEV,interleave,triad,1GB,8,3,40265.26
SEV,interleave,triad,1GB,24,1,103464.50
SEV,interleave,triad,1GB,24,2,104621.71
SEV,interleave,triad,1GB,24,3,104664.31
SEV,interleave,triad,1GB,48,1,178357.96
SEV,interleave,triad,1GB,48,2,164799.96
SEV,interleave,triad,1GB,48,3,169276.95
SEV,interleave,copy_mem,20MB,8,1,56390.45
SEV,interleave,copy_mem,20MB,8,2,56377.50
SEV,interleave,copy_mem,20MB,8,3,56371.33
SEV,interleave,copy_mem,20MB,24,1,169433.14
SEV,interleave,copy_mem,20MB,24,2,169601.67
SEV,interleave,copy_mem,20MB,24,3,169430.49
SEV,interleave,copy_mem,20MB,48,1,235567.06
SEV,interleave,copy_mem,20MB,48,2,189350.44
SEV,interleave,copy_mem,20MB,48,3,334211.64
SEV,interleave,copy_mem,1GB,8,1,53888.68
SEV,interleave,copy_mem,1GB,8,2,54649.93
