Matrix,Cores,Process_NUMA_Policy,Algo,Arg1,Arg2,Arg3,Run,SpMV_Time,Mgmt_Time,N_Ops,Perf_Cycles,Perf_Instructions,Perf_CacheMisses,Perf_dTLBMisses
Bump2911.bin,1,membind,cg,159,0,0,1,8.795499,1.394217,159,37015963394,153621794594,58047647,496688
Bump2911.bin,1,membind,cg,159,0,0,2,8.793730,1.395855,159,37008621504,153621794606,58253249,493491
Bump2911.bin,1,membind,cg,159,0,0,3,8.795030,1.394761,159,37015075859,153621794604,58128000,498963
Bump2911.bin,1,membind,cg,159,0,0,4,8.801936,1.395716,159,37043701072,153621794639,58200234,500176
Bump2911.bin,1,membind,cg,159,0,0,5,8.779704,1.392999,159,36955352140,153621794562,58029791,496340
Bump2911.bin,1,membind,cg,159,0,0,6,8.788485,1.395708,159,36995706082,153621794608,58227166,497512
Bump2911.bin,1,membind,cg,159,0,0,7,8.799730,1.392953,159,37024875752,153621794626,58120523,494636
Bump2911.bin,1,membind,cg,159,0,0,8,8.798587,1.395392,159,37031634316,153621794615,58170287,498249
Bump2911.bin,1,membind,cg,159,0,0,9,8.811665,1.392461,159,37065767377,153621794640,58081670,495259
Bump2911.bin,1,membind,cg,159,0,0,10,8.804644,1.393155,159,37046489129,153621794633,58134867,493387
Bump2911.bin,1,membind,cg,159,0,0,11,8.773852,1.392836,159,36934440011,153621794542,58122901,494389
Bump2911.bin,1,membind,cg,159,0,0,12,8.769405,1.394987,159,36926889975,153621794538,58203677,494986
Bump2911.bin,1,membind,cg,159,0,0,13,8.813391,1.389969,159,37066779495,153621794632,58115625,495523
Bump2911.bin,1,membind,cg,159,0,0,14,8.814649,1.394743,159,37084980369,153621794651,58197974,489954
Bump2911.bin,1,membind,cg,159,0,0,15,8.810225,1.393194,159,37067668142,153621794625,58174636,496679
Bump2911.bin,1,interleave,cg,159,0,0,1,8.808176,1.388316,159,37037909043,153621794637,58188575,513466
Bump2911.bin,1,interleave,cg,159,0,0,2,8.818355,1.387309,159,37072883934,153621794622,58035105,514998
Bump2911.bin,1,interleave,cg,159,0,0,3,8.799585,1.387490,159,37008599140,153621794580,58242037,516729
Bump2911.bin,1,interleave,cg,159,0,0,4,8.811884,1.388128,159,37050785650,153621794624,57965909,512427
Bump2911.bin,1,interleave,cg,159,0,0,5,8.793708,1.387247,159,36982268938,153621794568,58203427,517267
Bump2911.bin,1,interleave,cg,159,0,0,6,8.800064,1.388885,159,37011109464,153621794607,58044951,519331
Bump2911.bin,1,interleave,cg,159,0,0,7,8.787588,1.387218,159,36961887086,153621794587,58146324,521709
Bump2911.bin,1,interleave,cg,159,0,0,8,8.802165,1.387930,159,37019399325,153621794604,58047726,517611
Bump2911.bin,1,interleave,cg,159,0,0,9,8.804943,1.387813,159,37025838489,153621794591,58114106,514963
Bump2911.bin,1,interleave,cg,159,0,0,10,8.807640,1.388336,159,37034402728,153621794601,58067416,514607
Bump2911.bin,1,interleave,cg,159,0,0,11,8.798114,1.388173,159,37002675547,153621794579,58160528,514011
Bump2911.bin,1,interleave,cg,159,0,0,12,8.782313,1.387572,159,36944421807,153621794553,58115339,516866
Bump2911.bin,1,interleave,cg,159,0,0,13,8.802847,1.387668,159,37016739916,153621794612,58159174,517947
Bump2911.bin,1,interleave,cg,159,0,0,14,8.769688,1.390241,159,36906222603,153621794611,58037958,519096
