Matrix,Cores,Process_NUMA_Policy,Algo,Arg1,Arg2,Arg3,Run,SpMV_Time,Mgmt_Time,N_Ops,Perf_Cycles,Perf_Instructions,Perf_CacheMisses,Perf_dTLBMisses
Bump2911.bin,1,membind,cg,159,0,0,1,8.458861,1.325575,159,35553885837,153621787130,57758920,517734
Bump2911.bin,1,membind,cg,159,0,0,2,8.460730,1.331815,159,35599297173,153621791323,57980493,501389
Bump2911.bin,1,membind,cg,159,0,0,3,8.459825,1.325955,159,35579555806,153621792593,58009458,502842
Bump2911.bin,1,membind,cg,159,0,0,4,8.462437,1.331867,159,35605307554,153621792699,58105387,501099
Bump2911.bin,1,membind,cg,159,0,0,5,8.465607,1.327024,159,35600834793,153621792724,57977769,502746
Bump2911.bin,1,membind,cg,159,0,0,6,8.456281,1.332340,159,35586733282,153621792744,58128266,506393
Bump2911.bin,1,membind,cg,159,0,0,7,8.458838,1.328604,159,35579397010,153621792694,58033756,507996
Bump2911.bin,1,membind,cg,159,0,0,8,8.460814,1.332522,159,35606267748,153621792699,58097952,505137
Bump2911.bin,1,membind,cg,159,0,0,9,8.458621,1.327872,159,35580637467,153621792695,58027022,509290
Bump2911.bin,1,membind,cg,159,0,0,10,8.466152,1.333416,159,35624494104,153621792732,58046851,508569
Bump2911.bin,1,membind,cg,159,0,0,11,8.459649,1.323594,159,35566607808,153621792679,58081758,503561
Bump2911.bin,1,membind,cg,159,0,0,12,8.448899,1.333907,159,35565384059,153621792589,57917976,501337
Bump2911.bin,1,membind,cg,159,0,0,13,8.451493,1.331657,159,35565312269,153621792426,58142460,508182
Bump2911.bin,1,membind,cg,159,0,0,14,8.452339,1.332073,159,35568822734,153621791047,57901228,504541
Bump2911.bin,1,membind,cg,159,0,0,15,8.446986,1.330074,159,35551507482,153621788293,57961315,504164
Bump2911.bin,1,interleave,cg,159,0,0,1,8.447717,1.331039,159,35568591486,153621785620,58022320,531344
Bump2911.bin,1,interleave,cg,159,0,0,2,8.452863,1.333428,159,35615886308,153621783727,57866377,527387
Bump2911.bin,1,interleave,cg,159,0,0,3,8.441523,1.329569,159,35573378073,153621783279,57915870,528888
Bump2911.bin,1,interleave,cg,159,0,0,4,8.464729,1.335738,159,35608474787,153621783276,57976384,534781
Bump2911.bin,1,interleave,cg,159,0,0,5,8.458773,1.331572,159,35577298631,153621783271,57986699,527052
Bump2911.bin,1,interleave,cg,159,0,0,6,8.464281,1.335401,159,35618457335,153621789086,57945807,530248
Bump2911.bin,1,interleave,cg,159,0,0,7,8.469274,1.331555,159,35621798580,153621792424,58302643,535898
Bump2911.bin,1,interleave,cg,159,0,0,8,8.467226,1.336178,159,35632595216,153621792950,58301562,531143
Bump2911.bin,1,interleave,cg,159,0,0,9,8.468542,1.331073,159,35616374151,153621793066,58594467,533281
Bump2911.bin,1,interleave,cg,159,0,0,10,8.470856,1.335454,159,35638246362,153621793066,58654146,530579
Bump2911.bin,1,interleave,cg,159,0,0,11,8.466448,1.331577,159,35605912142,153621793052,58805638,534264
Bump2911.bin,1,interleave,cg,159,0,0,12,8.469498,1.336504,159,35633117757,153621793096,58592903,535913
Bump2911.bin,1,interleave,cg,159,0,0,13,8.468786,1.331161,159,35602365069,153621793062,58710374,535489
Bump2911.bin,1,interleave,cg,159,0,0,14,8.475264,1.337096,159,35638841736,153621793076,58631541,535163
Bump2911.bin,1,interleave,cg,159,0,0,15,8.473565,1.332634,159,35614113752,153621793095,58625268,536623
Bump2911.bin,8,membind,cg,190,0,0,1,8.281045,1.591310,190,277989811062,213195242218,77416311,292469
Bump2911.bin,8,membind,cg,190,0,0,2,8.275473,1.595853,190,277960370065,213196437223,77767811,293911
Bump2911.bin,8,membind,cg,190,0,0,3,8.279701,1.588262,190,277778069550,213195987836,78185195,296665
