Matrix,Cores,Process_NUMA_Policy,Algo,Arg1,Arg2,Arg3,Run,SpMV_Time,Mgmt_Time,N_Ops,Perf_Cycles,Perf_Instructions,Perf_CacheMisses,Perf_dTLBMisses
Bump2911.bin,1,membind,cg,159,0,0,1,9.054808,1.470757,159,38213486151,153621795301,58397485,507500
Bump2911.bin,1,membind,cg,159,0,0,2,9.047637,1.468192,159,38173838293,153621795280,58245977,509178
Bump2911.bin,1,membind,cg,159,0,0,3,9.044775,1.472805,159,38186237335,153621795300,58425194,503770
Bump2911.bin,1,membind,cg,159,0,0,4,9.050267,1.463014,159,38170215959,153621795271,58226390,505197
Bump2911.bin,1,membind,cg,159,0,0,5,9.045233,1.472057,159,38181589125,153621795318,58472709,511446
Bump2911.bin,1,membind,cg,159,0,0,6,9.054240,1.465975,159,38194850823,153621795320,58306743,504256
Bump2911.bin,1,membind,cg,159,0,0,7,9.053923,1.473835,159,38214043908,153621795305,58554851,510299
Bump2911.bin,1,membind,cg,159,0,0,8,9.037723,1.467581,159,38137782143,153621795267,58222376,512158
Bump2911.bin,1,membind,cg,159,0,0,9,9.044713,1.470437,159,38174346447,153621795274,58191739,513990
Bump2911.bin,1,membind,cg,159,0,0,10,9.040653,1.468000,159,38152421358,153621795250,58205374,503186
Bump2911.bin,1,membind,cg,159,0,0,11,9.043947,1.471320,159,38175225515,153621795271,58191820,510216
Bump2911.bin,1,membind,cg,159,0,0,12,9.054462,1.470966,159,38214410092,153621795325,58272226,504062
Bump2911.bin,1,membind,cg,159,0,0,13,9.047337,1.465905,159,38158318412,153621795304,58281536,512171
Bump2911.bin,1,membind,cg,159,0,0,14,9.059584,1.467638,159,38219947818,153621795284,58300868,507608
Bump2911.bin,1,membind,cg,159,0,0,15,9.054004,1.465050,159,38173942144,153621795268,58246875,504043
Bump2911.bin,1,interleave,cg,159,0,0,1,9.051260,1.470338,159,38183284932,153621795283,58384820,519396
Bump2911.bin,1,interleave,cg,159,0,0,2,9.056087,1.468852,159,38223249217,153621795293,58107926,522482
Bump2911.bin,1,interleave,cg,159,0,0,3,9.038364,1.466997,159,38161232142,153621795124,58225813,520363
Bump2911.bin,1,interleave,cg,159,0,0,4,9.040674,1.469347,159,38176515496,153621787749,57551613,525919
Bump2911.bin,1,interleave,cg,159,0,0,5,9.029494,1.466327,159,38157063485,153621791420,57715499,520743
Bump2911.bin,1,interleave,cg,159,0,0,6,9.044207,1.468696,159,38200365059,153621795252,58134874,518447
Bump2911.bin,1,interleave,cg,159,0,0,7,9.041722,1.464176,159,38157429465,153621795251,58099768,526334
Bump2911.bin,1,interleave,cg,159,0,0,8,9.052374,1.467810,159,38194848480,153621795106,58306503,525515
Bump2911.bin,1,interleave,cg,159,0,0,9,9.048732,1.464632,159,38167254533,153621795041,58185210,522667
Bump2911.bin,1,interleave,cg,159,0,0,10,9.060383,1.467193,159,38221348535,153621795288,58249893,519393
Bump2911.bin,1,interleave,cg,159,0,0,11,9.047974,1.465418,159,38171100931,153621795267,58208464,520409
Bump2911.bin,1,interleave,cg,159,0,0,12,9.057695,1.467447,159,38212525917,153621795285,58227761,519967
