Matrix,Cores,Process_NUMA_Policy,Algo,Arg1,Arg2,Arg3,Run,SpMV_Time,Mgmt_Time,N_Ops,Perf_Cycles,Perf_Instructions,Perf_CacheMisses,Perf_dTLBMisses
Bump2911.bin,1,membind,cg,159,0,0,1,8.630981,1.347456,159,36217632562,153621794162,58400733,527686
Bump2911.bin,1,membind,cg,159,0,0,2,8.611631,1.353041,159,36170474026,153621794138,57901751,528426
Bump2911.bin,1,membind,cg,159,0,0,3,8.619821,1.347311,159,36180347739,153621794136,58269891,532225
Bump2911.bin,1,membind,cg,159,0,0,4,8.629878,1.351879,159,36230244939,153621794196,57948295,530185
Bump2911.bin,1,membind,cg,159,0,0,5,8.608831,1.347587,159,36142363598,153621794126,58158390,527349
Bump2911.bin,1,membind,cg,159,0,0,6,8.624698,1.354040,159,36219550740,153621794163,57862513,533585
Bump2911.bin,1,membind,cg,159,0,0,7,8.634982,1.347523,159,36231541552,153621794174,58214943,534961
Bump2911.bin,1,membind,cg,159,0,0,8,8.616088,1.353075,159,36186895017,153621794139,57957372,532751
Bump2911.bin,1,membind,cg,159,0,0,9,8.634232,1.350291,159,36230938104,153621794228,58201574,530994
Bump2911.bin,1,membind,cg,159,0,0,10,8.643379,1.355894,159,36277258812,153621794226,57991975,532440
Bump2911.bin,1,membind,cg,159,0,0,11,8.631787,1.349386,159,36213072740,153621794165,58229386,534717
Bump2911.bin,1,membind,cg,159,0,0,12,8.629494,1.357661,159,36243373846,153621794189,58044713,533154
Bump2911.bin,1,membind,cg,159,0,0,13,8.621537,1.349122,159,36190434701,153621794162,58202394,528868
Bump2911.bin,1,membind,cg,159,0,0,14,8.627623,1.357287,159,36243811833,153621794185,58050838,530162
Bump2911.bin,1,membind,cg,159,0,0,15,8.630794,1.350287,159,36228385944,153621794224,58115263,527885
Bump2911.bin,1,interleave,cg,159,0,0,1,8.572013,1.352374,159,36021061415,153621794080,58125287,544824
Bump2911.bin,1,interleave,cg,159,0,0,2,8.627780,1.363889,159,36266349842,153621794193,58267099,546189
Bump2911.bin,1,interleave,cg,159,0,0,3,8.617070,1.355054,159,36191901463,153621794146,58079458,547035
Bump2911.bin,1,interleave,cg,159,0,0,4,8.634707,1.364527,159,36296640314,153621794206,58356843,544458
Bump2911.bin,1,interleave,cg,159,0,0,5,8.626174,1.354555,159,36226473812,153621794170,58077149,548340
Bump2911.bin,1,interleave,cg,159,0,0,6,8.636012,1.370518,159,36321884963,153621794265,58356078,548168
Bump2911.bin,1,interleave,cg,159,0,0,7,8.627499,1.366750,159,36277034416,153621794196,58024888,547710
Bump2911.bin,1,interleave,cg,159,0,0,8,8.604178,1.369558,159,36200809387,153621794164,58273422,544465
Bump2911.bin,1,interleave,cg,159,0,0,9,8.585926,1.367075,159,36123380428,153621794108,58028119,541857
Bump2911.bin,1,interleave,cg,159,0,0,10,8.612909,1.367114,159,36225445099,153621794167,58218555,544321
Bump2911.bin,1,interleave,cg,159,0,0,11,8.611783,1.358176,159,36183352457,153621794150,58125425,542234
Bump2911.bin,1,interleave,cg,159,0,0,12,8.616534,1.363239,159,36224438569,153621794218,58277179,545517
Bump2911.bin,1,interleave,cg,159,0,0,13,8.631713,1.357293,159,36259785489,153621794197,58195182,537556
Bump2911.bin,1,interleave,cg,159,0,0,14,8.614586,1.363326,159,36214057049,153621794179,58325406,541959
Bump2911.bin,1,interleave,cg,159,0,0,15,8.627709,1.358226,159,36244209182,153621794178,58107254,545358
Bump2911.bin,8,membind,cg,190,0,0,1,8.303852,1.604170,190,277409773593,213208262271,84991586,349758
Bump2911.bin,8,membind,cg,190,0,0,2,8.301302,1.606224,190,277278535163,213206155384,85005103,342412
Bump2911.bin,8,membind,cg,190,0,0,3,8.301043,1.609416,190,277517497260,213215387891,84866767,342535
Bump2911.bin,8,membind,cg,190,0,0,4,8.296712,1.600972,190,277331444807,213216437229,84938295,332232
Bump2911.bin,8,membind,cg,190,0,0,5,8.295772,1.609622,190,277297088770,213208810673,84919514,339006
Bump2911.bin,8,membind,cg,190,0,0,6,8.301187,1.605274,190,277474110022,213207638045,84842721,342632
Bump2911.bin,8,membind,cg,190,0,0,7,8.299548,1.611003,190,277453458214,213204925012,84823974,341384
Bump2911.bin,8,membind,cg,190,0,0,8,8.298622,1.605765,190,277393390195,213207336109,84854893,335741
Bump2911.bin,8,membind,cg,190,0,0,9,8.301216,1.607821,190,277549547803,213215160939,84829166,331632
Bump2911.bin,8,membind,cg,190,0,0,10,8.296471,1.600593,190,277324509161,213222758283,85022978,331739
Bump2911.bin,8,membind,cg,190,0,0,11,8.297181,1.609072,190,277504619310,213222108913,84813416,330412
Bump2911.bin,8,membind,cg,190,0,0,12,8.297045,1.605882,190,277428893189,213213554953,84902290,330646
Bump2911.bin,8,membind,cg,190,0,0,13,8.294621,1.607934,190,277443362386,213212553454,84672306,328353
Bump2911.bin,8,membind,cg,190,0,0,14,8.295637,1.597661,190,277365818404,213223414789,84731315,328064
Bump2911.bin,8,membind,cg,190,0,0,15,8.296374,1.612909,190,277495409703,213208948295,84638195,328461
Bump2911.bin,8,interleave,cg,190,0,0,1,8.301967,1.613162,190,277588789127,213224002308,84832554,348171
Bump2911.bin,8,interleave,cg,190,0,0,2,8.296250,1.621362,190,277451734181,213217780954,84623652,351385
Bump2911.bin,8,interleave,cg,190,0,0,3,8.297011,1.620683,190,277481383212,213213948821,84657052,364409
Bump2911.bin,8,interleave,cg,190,0,0,4,8.301323,1.622456,190,277644197178,213220825901,84210194,356345
Bump2911.bin,8,interleave,cg,190,0,0,5,8.300627,1.631312,190,278008985852,213211258631,83450345,350238
Bump2911.bin,8,interleave,cg,190,0,0,6,8.298702,1.619996,190,277901020852,213230620028,83501967,352389
