Matrix,Cores,Process_NUMA_Policy,Algo,Arg1,Arg2,Arg3,Run,SpMV_Time,Mgmt_Time,N_Ops,Perf_Cycles,Perf_Instructions,Perf_CacheMisses,Perf_dTLBMisses
Bump2911.bin,1,membind,cg,159,0,0,1,9.049976,1.471713,159,38223426898,153621795250,58478465,505824
Bump2911.bin,1,membind,cg,159,0,0,2,9.076687,1.469994,159,38315860946,153621795330,58438312,512735
Bump2911.bin,1,membind,cg,159,0,0,3,9.064963,1.469442,159,38271508280,153621795288,58570060,507117
Bump2911.bin,1,membind,cg,159,0,0,4,9.073306,1.470192,159,38277306484,153621795298,58404860,511671
Bump2911.bin,1,membind,cg,159,0,0,5,9.068703,1.468859,159,38287390587,153621795293,58369910,509738
Bump2911.bin,1,membind,cg,159,0,0,6,9.064539,1.463785,159,38234875254,153621795270,58374847,512266
Bump2911.bin,1,membind,cg,159,0,0,7,9.061217,1.463660,159,38230048918,153621795257,58325148,508478
Bump2911.bin,1,membind,cg,159,0,0,8,9.060420,1.466881,159,38247560090,153621795285,58439730,511083
Bump2911.bin,1,membind,cg,159,0,0,9,9.030527,1.461964,159,38120228642,153621795200,58419722,511786
Bump2911.bin,1,membind,cg,159,0,0,10,9.033847,1.463345,159,38138976518,153621795197,58212421,513505
Bump2911.bin,1,membind,cg,159,0,0,11,9.075394,1.464833,159,38292176102,153621795288,58221729,504632
Bump2911.bin,1,membind,cg,159,0,0,12,9.057213,1.464494,159,38224291719,153621795262,58209415,506872
Bump2911.bin,1,membind,cg,159,0,0,13,9.074134,1.465648,159,38293523972,153621795279,58227202,503615
Bump2911.bin,1,membind,cg,159,0,0,14,9.058545,1.464605,159,38233431852,153621795265,58289758,509458
Bump2911.bin,1,membind,cg,159,0,0,15,9.092694,1.463505,159,38341868517,153621795329,58287160,506637
Bump2911.bin,1,interleave,cg,159,0,0,1,9.048206,1.466068,159,38195150839,153621795249,58282414,529192
Bump2911.bin,1,interleave,cg,159,0,0,2,9.065676,1.468057,159,38270844158,153621795278,58133458,529068
Bump2911.bin,1,interleave,cg,159,0,0,3,9.059165,1.465417,159,38234095564,153621795255,58184096,526128
Bump2911.bin,1,interleave,cg,159,0,0,4,9.065627,1.465594,159,38263678707,153621795270,58263488,527081
Bump2911.bin,1,interleave,cg,159,0,0,5,9.084693,1.465611,159,38327111055,153621795312,58369722,532283
Bump2911.bin,1,interleave,cg,159,0,0,6,9.061621,1.465100,159,38245830532,153621795275,58177338,523028
Bump2911.bin,1,interleave,cg,159,0,0,7,9.065792,1.464784,159,38258626617,153621795318,58199359,528824
Bump2911.bin,1,interleave,cg,159,0,0,8,9.063782,1.464629,159,38251651290,153621795263,58225393,532439
Bump2911.bin,1,interleave,cg,159,0,0,9,9.061298,1.463577,159,38238285232,153621795259,58223549,525804
Bump2911.bin,1,interleave,cg,159,0,0,10,9.073521,1.465510,159,38288139625,153621795285,58167315,528625
Bump2911.bin,1,interleave,cg,159,0,0,11,9.078876,1.465210,159,38302419854,153621795309,58293966,531861
Bump2911.bin,1,interleave,cg,159,0,0,12,9.051069,1.468741,159,38218018347,153621795249,58142547,526863
Bump2911.bin,1,interleave,cg,159,0,0,13,9.070819,1.462078,159,38266947146,153621795276,58219471,531176
Bump2911.bin,1,interleave,cg,159,0,0,14,9.069723,1.464875,159,38270986608,153621795277,58291277,529067
Bump2911.bin,1,interleave,cg,159,0,0,15,9.066893,1.463166,159,38256069945,153621795278,58261327,527600
Bump2911.bin,8,membind,cg,190,0,0,1,8.366988,1.765705,190,280155203369,213195409612,84536517,293091
Bump2911.bin,8,membind,cg,190,0,0,2,8.369534,1.765299,190,280217896664,213194453218,84653699,294570
Bump2911.bin,8,membind,cg,190,0,0,3,8.368723,1.765072,190,280166467837,213192864715,83596252,296214
Bump2911.bin,8,membind,cg,190,0,0,4,8.369301,1.775066,190,280265689423,213187549817,84759406,298532
Bump2911.bin,8,membind,cg,190,0,0,5,8.369821,1.758282,190,280166591158,213195468306,84418628,299160
Bump2911.bin,8,membind,cg,190,0,0,6,8.367303,1.772808,190,280174694923,213191024422,85615749,304980
Bump2911.bin,8,membind,cg,190,0,0,7,8.369496,1.765533,190,280260139892,213195989917,86045711,298187
Bump2911.bin,8,membind,cg,190,0,0,8,8.370527,1.756995,190,280241974699,213193791474,84207042,292921
Bump2911.bin,8,membind,cg,190,0,0,9,8.371658,1.757681,190,280216308185,213202194415,83838398,306728
Bump2911.bin,8,membind,cg,190,0,0,10,8.370126,1.756771,190,280159071444,213199641989,84309349,303007
Bump2911.bin,8,membind,cg,190,0,0,11,8.372064,1.751805,190,280205427217,213205710336,84584330,309191
Bump2911.bin,8,membind,cg,190,0,0,12,8.370981,1.755412,190,280151895389,213199377505,84195444,297828
Bump2911.bin,8,membind,cg,190,0,0,13,8.371676,1.753370,190,280247173876,213209386655,86139095,288240
Bump2911.bin,8,membind,cg,190,0,0,14,8.370467,1.758120,190,280207354786,213205666390,84862084,286925
Bump2911.bin,8,membind,cg,190,0,0,15,8.371264,1.763047,190,280185746587,213202031225,84306917,299541
Bump2911.bin,8,interleave,cg,190,0,0,1,8.367745,1.756477,190,280030218714,213199393715,84411761,323610
Bump2911.bin,8,interleave,cg,190,0,0,2,8.370904,1.756453,190,280133598283,213209596534,85011333,322585
Bump2911.bin,8,interleave,cg,190,0,0,3,8.372714,1.750819,190,280153360888,213197275926,84512267,321077
Bump2911.bin,8,interleave,cg,190,0,0,4,8.373988,1.757312,190,280216529272,213206558646,84648315,320892
Bump2911.bin,8,interleave,cg,190,0,0,5,8.373448,1.753190,190,280151780831,213198067068,83985886,313810
Bump2911.bin,8,interleave,cg,190,0,0,6,8.373293,1.759765,190,280178678204,213196705292,83892150,314926
Bump2911.bin,8,interleave,cg,190,0,0,7,8.373773,1.743216,190,280127597312,213200243842,83880750,315336
Bump2911.bin,8,interleave,cg,190,0,0,8,8.371591,1.765316,190,280139493286,213194585152,84095224,325481
Bump2911.bin,8,interleave,cg,190,0,0,9,8.372791,1.750694,190,280081567493,213194585970,83632562,321266
Bump2911.bin,8,interleave,cg,190,0,0,10,8.373507,1.758198,190,280151569125,213202859062,84196677,316769
Bump2911.bin,8,interleave,cg,190,0,0,11,8.374064,1.749099,190,280135819580,213201352852,83981462,330280
Bump2911.bin,8,interleave,cg,190,0,0,12,8.372760,1.755416,190,280098485106,213199591976,83797008,327845
Bump2911.bin,8,interleave,cg,190,0,0,13,8.374125,1.747693,190,280105255548,213206867327,84024524,322246
Bump2911.bin,8,interleave,cg,190,0,0,14,8.370983,1.758944,190,280058960103,213201895431,83901550,319324
Bump2911.bin,8,interleave,cg,190,0,0,15,8.372311,1.757008,190,280099823059,213194557339,83924832,327967
Bump2911.bin,24,membind,cg,360,0,0,1,7.127179,4.752357,360,820515992752,415855202910,246384510,706628
Bump2911.bin,24,membind,cg,360,0,0,2,7.125805,4.875275,360,820896941429,415849040459,251350487,721488
Bump2911.bin,24,membind,cg,360,0,0,3,7.128346,4.842459,360,820932361806,415861383396,250675957,739323
Bump2911.bin,24,membind,cg,360,0,0,4,7.128388,4.879468,360,821183613979,415849819544,251691785,723952
Bump2911.bin,24,membind,cg,360,0,0,5,7.127571,4.854244,360,820949522618,415854459436,250464104,712815
Bump2911.bin,24,membind,cg,360,0,0,6,7.127550,4.884405,360,821192993083,415868055774,251729199,714757
Bump2911.bin,24,membind,cg,360,0,0,7,7.127859,4.852761,360,821131223305,415857363297,250474853,736584
Bump2911.bin,24,membind,cg,360,0,0,8,7.127947,4.885891,360,821168649815,415851372941,252274104,712148
Bump2911.bin,24,membind,cg,360,0,0,9,7.134977,4.842012,360,821587322824,415899775766,249879636,724202
Bump2911.bin,24,membind,cg,360,0,0,10,7.131116,4.875971,360,821517168559,415879599582,251610087,749940
Bump2911.bin,24,membind,cg,360,0,0,11,7.128623,4.859223,360,821248320213,415872670897,251148242,725832
Bump2911.bin,24,membind,cg,360,0,0,12,7.129010,4.882247,360,821246320426,415870640909,251797593,743348
Bump2911.bin,24,membind,cg,360,0,0,13,7.124327,4.852033,360,821023879546,415865409064,250390050,718492
Bump2911.bin,24,membind,cg,360,0,0,14,7.125918,4.881494,360,821117206642,415851296373,251587033,728333
Bump2911.bin,24,membind,cg,360,0,0,15,7.126777,4.850684,360,821187263039,415868151601,249943982,778742
Bump2911.bin,24,interleave,cg,359,0,0,1,7.110000,4.781320,359,818430577626,414704997487,247095669,752220
Bump2911.bin,24,interleave,cg,359,0,0,2,7.110146,4.823395,359,818500901812,414719476913,246489172,796477
Bump2911.bin,24,interleave,cg,359,0,0,3,7.108598,4.780192,359,818140387747,414700859904,245732830,786356
Bump2911.bin,24,interleave,cg,359,0,0,4,7.106208,4.827873,359,818361277523,414713599685,246981309,782524
Bump2911.bin,24,interleave,cg,359,0,0,5,7.104028,4.788455,359,818235693825,414694506951,246316794,827859
Bump2911.bin,24,interleave,cg,359,0,0,6,7.102772,4.752249,359,818072736697,414707929595,240945574,837561
Bump2911.bin,24,interleave,cg,359,0,0,7,7.099012,4.830728,359,818185255993,414701948543,243779902,813407
Bump2911.bin,24,interleave,cg,359,0,0,8,7.097443,4.815069,359,818253500388,414709789940,241857780,803580
Bump2911.bin,24,interleave,cg,359,0,0,9,7.096813,4.832058,359,818404769711,414693251953,245747244,799867
Bump2911.bin,24,interleave,cg,359,0,0,10,7.093518,4.835358,359,818280362346,414681212519,243298147,792235
Bump2911.bin,24,interleave,cg,359,0,0,11,7.096534,4.831520,359,818310150549,414698138097,241427257,851469
Bump2911.bin,24,interleave,cg,359,0,0,12,7.093652,4.832665,359,818406600862,414698853944,240940268,822738
Bump2911.bin,24,interleave,cg,359,0,0,13,7.097508,4.833509,359,818425372686,414705189354,239103391,806433
Bump2911.bin,24,interleave,cg,359,0,0,14,7.095216,4.816927,359,818423673450,414687790223,236322679,794718
Bump2911.bin,24,interleave,cg,359,0,0,15,7.093938,4.783827,359,818073255629,414691548876,234280985,783380
Bump2911.bin,48,membind,cg,416,0,0,1,8.247005,6.503247,416,1838299421420,502647101318,354212832,924609
