Matrix,Cores,Process_NUMA_Policy,Algo,Arg1,Arg2,Arg3,Run,SpMV_Time,Mgmt_Time,N_Ops,Perf_Cycles,Perf_Instructions,Perf_CacheMisses,Perf_dTLBMisses
Bump2911.bin,1,membind,cg,159,0,0,1,8.579711,1.365594,159,36114013659,153621793377,58720441,517967
Bump2911.bin,1,membind,cg,159,0,0,2,8.583732,1.364559,159,36131128739,153621793408,58563754,511669
Bump2911.bin,1,membind,cg,159,0,0,3,8.573340,1.361635,159,36082963830,153621793361,58771021,513199
Bump2911.bin,1,membind,cg,159,0,0,4,8.584175,1.364585,159,36133204149,153621793375,58526063,513361
Bump2911.bin,1,membind,cg,159,0,0,5,8.576981,1.361445,159,36098376943,153621793366,58790081,510609
Bump2911.bin,1,membind,cg,159,0,0,6,8.592806,1.363889,159,36165579373,153621793386,58559774,508031
Bump2911.bin,1,membind,cg,159,0,0,7,8.577883,1.361041,159,36096810265,153621793361,58680141,510567
Bump2911.bin,1,membind,cg,159,0,0,8,8.584985,1.364197,159,36129641794,153621793381,58496625,510478
Bump2911.bin,1,membind,cg,159,0,0,9,8.578861,1.360581,159,36102286466,153621793350,58697588,508787
Bump2911.bin,1,membind,cg,159,0,0,10,8.591413,1.364963,159,36159513831,153621793392,58549047,507991
Bump2911.bin,1,membind,cg,159,0,0,11,8.575215,1.358922,159,36081485000,153621793355,58802853,515893
Bump2911.bin,1,membind,cg,159,0,0,12,8.584237,1.360129,159,36115415536,153621793356,58466714,511493
Bump2911.bin,1,membind,cg,159,0,0,13,8.580785,1.358310,159,36102137537,153621793358,58595337,508041
Bump2911.bin,1,membind,cg,159,0,0,14,8.579455,1.358429,159,36085313521,153621793350,58566589,511646
Bump2911.bin,1,membind,cg,159,0,0,15,8.579733,1.359146,159,36085017555,153621793341,58622380,513644
Bump2911.bin,1,interleave,cg,159,0,0,1,8.595083,1.379154,159,36226164383,153621793423,58665226,532863
Bump2911.bin,1,interleave,cg,159,0,0,2,8.574909,1.370559,159,36121915628,153621793359,58604015,529680
Bump2911.bin,1,interleave,cg,159,0,0,3,8.589541,1.382632,159,36223103886,153621793422,58538298,525868
Bump2911.bin,1,interleave,cg,159,0,0,4,8.585224,1.377779,159,36183345219,153621793393,58724470,532845
Bump2911.bin,1,interleave,cg,159,0,0,5,8.595901,1.380408,159,36236078518,153621793433,58532858,527487
Bump2911.bin,1,interleave,cg,159,0,0,6,8.581126,1.376797,159,36169721282,153621793380,58714364,531232
Bump2911.bin,1,interleave,cg,159,0,0,7,8.587660,1.378826,159,36198416151,153621793400,58543506,525384
Bump2911.bin,1,interleave,cg,159,0,0,8,8.589440,1.377526,159,36202727697,153621793408,58858039,526174
Bump2911.bin,1,interleave,cg,159,0,0,9,8.592794,1.378664,159,36218097427,153621793415,58560260,531743
Bump2911.bin,1,interleave,cg,159,0,0,10,8.581244,1.376544,159,36168580345,153621793389,58744226,527589
Bump2911.bin,1,interleave,cg,159,0,0,11,8.585396,1.379933,159,36196105964,153621793407,58612943,534186
Bump2911.bin,1,interleave,cg,159,0,0,12,8.590709,1.376914,159,36205017909,153621793410,58783093,538453
Bump2911.bin,1,interleave,cg,159,0,0,13,8.590712,1.377984,159,36205175315,153621793407,58651400,534284
Bump2911.bin,1,interleave,cg,159,0,0,14,8.581925,1.377365,159,36176881716,153621793380,58770717,533633
Bump2911.bin,1,interleave,cg,159,0,0,15,8.592708,1.380664,159,36225287244,153621793413,58683052,529777
Bump2911.bin,8,membind,cg,190,0,0,1,8.307125,1.603067,190,277711759083,213207099797,84308473,314270
