Matrix,Cores,Process_NUMA_Policy,Run,Iterations,IO_Time,SpMV_Time,SpMV_GFLOPS,Perf_Cycles,Perf_Instructions,Perf_CacheMisses,Perf_dTLBMisses
0-0_N1440352.bin,1,membind,1,369,0.083990,9.989949,0.008651,36301887198,199309298330,3253595,348096
0-0_N1440352.bin,1,membind,2,369,0.081536,9.991050,0.008650,36303970001,199309298332,3245484,352684
0-0_N1440352.bin,1,membind,3,369,0.081615,9.989760,0.008651,36300564954,199309298356,3237343,333928
0-0_N1440352.bin,1,membind,4,369,0.081559,9.991008,0.008650,36305358788,199309298350,3242330,338424
0-0_N1440352.bin,1,membind,5,369,0.081568,9.992131,0.008649,36305536742,199309298358,3236473,343967
0-0_N1440352.bin,1,membind,6,369,0.081642,9.989894,0.008651,36297737642,199309298362,3235941,360376
0-0_N1440352.bin,1,membind,7,369,0.081711,9.993462,0.008648,36311928291,199309298329,3250803,349569
0-0_N1440352.bin,1,membind,8,369,0.081778,9.991048,0.008650,36301355366,199309298360,3253631,344848
0-0_N1440352.bin,1,membind,9,369,0.081625,9.992812,0.008648,36306791980,199309298343,3255968,341715
0-0_N1440352.bin,1,membind,10,369,0.081846,9.993818,0.008647,36307678984,199309298357,3240532,341166
0-0_N1440352.bin,1,membind,11,369,0.081696,9.993009,0.008648,36308342417,199309298359,3266338,353348
0-0_N1440352.bin,1,membind,12,369,0.082276,9.989273,0.008651,36297986179,199309298319,3241310,333676
0-0_N1440352.bin,1,membind,13,369,0.081600,9.992100,0.008649,36309442813,199309298365,3251943,349175
0-0_N1440352.bin,1,membind,14,369,0.081750,9.990609,0.008650,36302451763,199309298330,3262050,343836
0-0_N1440352.bin,1,membind,15,369,0.081842,9.991082,0.008650,36306771090,199309298348,3258477,348846
0-0_N1440352.bin,1,interleave,1,369,0.081820,9.990150,0.008651,36297416105,199309298365,3264909,396291
0-0_N1440352.bin,1,interleave,2,369,0.082036,9.991666,0.008649,36304306690,199309298363,3259344,393959
0-0_N1440352.bin,1,interleave,3,369,0.082149,9.988499,0.008652,36292621157,199309298354,3292117,395467
0-0_N1440352.bin,1,interleave,4,369,0.082096,9.993168,0.008648,36311513121,199309298337,3271310,397685
0-0_N1440352.bin,1,interleave,5,369,0.081710,9.990169,0.008651,36294315195,199309298343,3297593,404246
0-0_N1440352.bin,1,interleave,6,369,0.082184,9.993645,0.008648,36308794864,199309298330,3268147,406557
0-0_N1440352.bin,1,interleave,7,369,0.082094,9.991770,0.008649,36294568521,199309299497,3296652,387211
0-0_N1440352.bin,1,interleave,8,369,0.082062,9.999123,0.008643,36312676439,199309298347,3273210,394682
0-0_N1440352.bin,1,interleave,9,369,0.082071,9.995995,0.008646,36298667870,199309298340,3279744,391196
0-0_N1440352.bin,1,interleave,10,369,0.081943,9.994984,0.008646,36307031475,199309298343,3279103,394613
0-0_N1440352.bin,1,interleave,11,369,0.081838,9.991319,0.008650,36291973373,199309298503,3287533,390634
0-0_N1440352.bin,1,interleave,12,369,0.082362,9.997444,0.008644,36314890587,199309298348,3260686,380222
0-0_N1440352.bin,1,interleave,13,369,0.081804,9.993051,0.008648,36299764284,199309298319,3268653,388706
0-0_N1440352.bin,1,interleave,14,369,0.081789,9.998392,0.008644,36316020402,199309298349,3276605,397699
0-0_N1440352.bin,1,interleave,15,369,0.081981,9.993071,0.008648,36300544057,199309298311,3276049,406897
0-0_N1440352.bin,8,membind,1,713,0.081707,10.262137,0.008421,295423613907,385292902148,17537167,9395
0-0_N1440352.bin,8,membind,2,713,0.081811,10.261237,0.008422,295458060594,385286017109,17621701,6555
0-0_N1440352.bin,8,membind,3,713,0.081809,10.261536,0.008422,295427867370,385287052457,17560484,9243
0-0_N1440352.bin,8,membind,4,713,0.081658,10.263559,0.008420,295503509875,385290407178,17497504,11294
0-0_N1440352.bin,8,membind,5,713,0.081879,10.264550,0.008419,295493458398,385289754917,17538769,9860
0-0_N1440352.bin,8,membind,6,713,0.081994,10.265520,0.008419,295542692874,385294368613,17602583,9395
0-0_N1440352.bin,8,membind,7,713,0.081828,10.263351,0.008420,295438438162,385287803640,17484829,12299
0-0_N1440352.bin,8,membind,8,713,0.081603,10.264950,0.008419,295488800968,385286294751,17597791,9090
0-0_N1440352.bin,8,membind,9,713,0.081755,10.265237,0.008419,295540998975,385296434280,17509634,9406
0-0_N1440352.bin,8,membind,10,713,0.081778,10.267340,0.008417,295581300864,385293967108,17623211,10981
0-0_N1440352.bin,8,membind,11,713,0.081943,10.264982,0.008419,295490218900,385286609108,17587477,12685
0-0_N1440352.bin,8,membind,12,713,0.081825,10.268142,0.008416,295607070920,385299287555,17623079,11688
0-0_N1440352.bin,8,membind,13,713,0.081758,10.267546,0.008417,295569285944,385293626628,17651500,11931
0-0_N1440352.bin,8,membind,14,713,0.081795,10.265132,0.008419,295506139585,385285921542,17655692,7943
