Matrix,Cores,Process_NUMA_Policy,Run,Iterations,IO_Time,SpMV_Time,SpMV_GFLOPS,Perf_Cycles,Perf_Instructions,Perf_CacheMisses,Perf_dTLBMisses
0-0_N1440352.bin,1,membind,1,369,0.092831,9.942831,0.008692,36126686568,199309298305,3251232,348386
0-0_N1440352.bin,1,membind,2,369,0.081778,9.945682,0.008689,36119996597,199309298394,3276159,357820
0-0_N1440352.bin,1,membind,3,369,0.081904,9.944696,0.008690,36125653716,199309298279,3282170,344999
0-0_N1440352.bin,1,membind,4,369,0.081814,9.941295,0.008693,36119567968,199309298283,3250448,332908
0-0_N1440352.bin,1,membind,5,369,0.081866,9.946858,0.008688,36126437745,199309298315,3292830,345223
0-0_N1440352.bin,1,membind,6,369,0.081688,9.949332,0.008686,36122010659,199309298318,3281386,347199
0-0_N1440352.bin,1,membind,7,369,0.081673,9.946675,0.008688,36132306902,199309298338,3272377,342713
0-0_N1440352.bin,1,membind,8,369,0.081908,9.948541,0.008687,36139517190,199309298323,3276043,356314
0-0_N1440352.bin,1,membind,9,369,0.082003,9.946932,0.008688,36130430918,199309298298,3288472,335529
0-0_N1440352.bin,1,membind,10,369,0.082077,9.945920,0.008689,36130885571,199309298282,3285239,341197
0-0_N1440352.bin,1,membind,11,369,0.081754,9.947950,0.008687,36134576142,199309298264,3297185,362455
0-0_N1440352.bin,1,membind,12,369,0.081869,9.948039,0.008687,36132828705,199309298316,3269137,340718
0-0_N1440352.bin,1,membind,13,369,0.081728,9.944879,0.008690,36131799162,199309298300,3272081,334924
0-0_N1440352.bin,1,membind,14,369,0.081669,9.944970,0.008690,36125617690,199309298293,3269684,361174
0-0_N1440352.bin,1,membind,15,369,0.081777,9.945483,0.008689,36125748442,199309298287,3285317,348458
0-0_N1440352.bin,1,interleave,1,369,0.081801,9.952657,0.008683,36149169070,199309298306,3277227,359347
0-0_N1440352.bin,1,interleave,2,369,0.081601,9.955578,0.008681,36152957583,199309298290,3303205,364995
0-0_N1440352.bin,1,interleave,3,369,0.081577,9.949866,0.008686,36132395283,199309298284,3304237,377346
0-0_N1440352.bin,1,interleave,4,369,0.081598,9.948007,0.008687,36137848652,199309298265,3307808,360199
0-0_N1440352.bin,1,interleave,5,369,0.081534,9.947699,0.008688,36129146833,199309298310,3273983,356655
0-0_N1440352.bin,1,interleave,6,369,0.083821,9.949963,0.008686,36139019136,199309298293,3286289,364518
0-0_N1440352.bin,1,interleave,7,369,0.081592,9.945774,0.008689,36128446552,199309298282,3299299,351198
0-0_N1440352.bin,1,interleave,8,369,0.081661,9.950604,0.008685,36139459293,199309298277,3281328,368190
0-0_N1440352.bin,1,interleave,9,369,0.081620,9.946852,0.008688,36125239293,199309298285,3307111,365106
0-0_N1440352.bin,1,interleave,10,369,0.081459,9.949391,0.008686,36141039385,199309298303,3288901,349832
0-0_N1440352.bin,1,interleave,11,369,0.081550,9.947123,0.008688,36127619204,199309298307,3290119,369057
0-0_N1440352.bin,1,interleave,12,369,0.081392,9.950236,0.008685,36138284627,199309298290,3283417,357842
0-0_N1440352.bin,1,interleave,13,369,0.081642,9.947481,0.008688,36135653925,199309298293,3298979,366493
0-0_N1440352.bin,1,interleave,14,369,0.081643,9.944770,0.008690,36120648888,199309298279,3304301,374698
0-0_N1440352.bin,1,interleave,15,369,0.081693,9.948472,0.008687,36134169215,199309298300,3303103,371952
0-0_N1440352.bin,8,membind,1,713,0.081852,10.262940,0.008421,295133456501,385299658134,17897514,13402
0-0_N1440352.bin,8,membind,2,713,0.081905,10.264993,0.008419,295248925304,385306762396,17830919,15982
0-0_N1440352.bin,8,membind,3,713,0.081983,10.263831,0.008420,295231567086,385293137390,17885215,19138
0-0_N1440352.bin,8,membind,4,713,0.081734,10.263031,0.008421,295427630991,385298833481,17844723,14023
0-0_N1440352.bin,8,membind,5,713,0.082053,10.262537,0.008421,295512668422,385291031746,17818701,14629
0-0_N1440352.bin,8,membind,6,713,0.081665,10.261850,0.008422,295473470930,385289003813,17819168,19286
0-0_N1440352.bin,8,membind,7,713,0.081801,10.261637,0.008422,295477594588,385288946393,17810956,16770
0-0_N1440352.bin,8,membind,8,713,0.081738,10.262582,0.008421,295531754339,385287863243,17644559,14271
0-0_N1440352.bin,8,membind,9,713,0.081641,10.261875,0.008422,295643637759,385283099111,17462908,19181
0-0_N1440352.bin,8,membind,10,713,0.081787,10.264486,0.008419,295946109302,385279802096,17061155,21014
0-0_N1440352.bin,8,membind,11,713,0.081906,10.263230,0.008420,296015110578,385281167469,16779280,14933
0-0_N1440352.bin,8,membind,12,713,0.081672,10.264800,0.008419,296102971421,385279695157,16386359,15829
0-0_N1440352.bin,8,membind,13,713,0.081625,10.266122,0.008418,296191021402,385273824717,16115534,15586
0-0_N1440352.bin,8,membind,14,713,0.081697,10.267191,0.008417,296319771302,385267401835,15626461,15299
0-0_N1440352.bin,8,membind,15,713,0.081834,10.268856,0.008416,296413225981,385269551140,15163157,18292
0-0_N1440352.bin,8,interleave,1,713,0.081643,10.272790,0.008413,296542083210,385270641383,14535992,16328
0-0_N1440352.bin,8,interleave,2,713,0.081479,10.271154,0.008414,296566157089,385267015414,13659994,15440
0-0_N1440352.bin,8,interleave,3,713,0.081512,10.273085,0.008412,296672005320,385262380049,12445125,17423
0-0_N1440352.bin,8,interleave,4,713,0.081623,10.274863,0.008411,296736121405,385264513115,11485218,18866
0-0_N1440352.bin,8,interleave,5,713,0.081573,10.272638,0.008413,296707557117,385273746729,11722137,21198
0-0_N1440352.bin,8,interleave,6,713,0.081401,10.269158,0.008416,296707977787,385274086860,13032063,13393
0-0_N1440352.bin,8,interleave,7,713,0.081620,10.267896,0.008417,296426446372,385265989553,16254407,18413
0-0_N1440352.bin,8,interleave,8,713,0.081879,10.266117,0.008418,296262998795,385255470657,16812143,17657
0-0_N1440352.bin,8,interleave,9,713,0.081681,10.264354,0.008420,296174950557,385247332366,17056830,18970
0-0_N1440352.bin,8,interleave,10,713,0.081513,10.266961,0.008417,296106845854,385254458090,17383556,14245
0-0_N1440352.bin,8,interleave,11,713,0.081616,10.267954,0.008417,296059166185,385256919492,17627044,16044
0-0_N1440352.bin,8,interleave,12,713,0.081664,10.265476,0.008419,295855981497,385267630282,17825854,15165
0-0_N1440352.bin,8,interleave,13,713,0.081498,10.265678,0.008418,295783462220,385260646295,17921309,15529
0-0_N1440352.bin,8,interleave,14,713,0.081510,10.266475,0.008418,295702593087,385270474645,17907576,14255
0-0_N1440352.bin,8,interleave,15,713,0.081725,10.268522,0.008416,295713093905,385270803125,17955528,17018
0-0_N1440352.bin,24,membind,1,1817,0.081855,8.057323,0.010726,696058390110,982971968029,44435285,9104
0-0_N1440352.bin,24,membind,2,1817,0.102676,8.048181,0.010738,695317180237,982901956861,44317266,13134
0-0_N1440352.bin,24,membind,3,1817,0.098950,8.057378,0.010726,696120779332,983032653524,44379832,15055
0-0_N1440352.bin,24,membind,4,1817,0.101236,8.050298,0.010735,695553148675,982874295881,44296614,12322
0-0_N1440352.bin,24,membind,5,1817,0.099507,8.055437,0.010728,695995251790,982924434999,44230141,10108
0-0_N1440352.bin,24,membind,6,1817,0.101053,8.046281,0.010741,695121476730,982871774336,44239664,11071
0-0_N1440352.bin,24,membind,7,1817,0.098338,8.057570,0.010725,696109565789,983046292001,44206805,12750
0-0_N1440352.bin,24,membind,8,1817,0.100404,8.050362,0.010735,695548903329,982926093270,44174315,14080
0-0_N1440352.bin,24,membind,9,1817,0.100478,8.048560,0.010737,695368026694,982987433368,44169919,11857
0-0_N1440352.bin,24,membind,10,1817,0.102276,8.041780,0.010747,694679246628,982890205557,44223054,12227
0-0_N1440352.bin,24,membind,11,1817,0.099214,8.056324,0.010727,695933854142,982985014164,44171068,11110
0-0_N1440352.bin,24,membind,12,1817,0.100054,8.047206,0.010739,695241083162,982962071696,44260436,18437
0-0_N1440352.bin,24,membind,13,1817,0.099604,8.051259,0.010734,695551382166,983032104667,44156210,12706
0-0_N1440352.bin,24,membind,14,1817,0.102433,8.043724,0.010744,694936513652,982970511123,44195230,10204
0-0_N1440352.bin,24,membind,15,1817,0.099113,8.048523,0.010738,695424726225,983008643544,44303724,15517
0-0_N1440352.bin,24,interleave,1,1815,0.089711,8.024600,0.010770,693213929114,981879348538,44107015,10574
0-0_N1440352.bin,24,interleave,2,1815,0.099352,8.033218,0.010758,693953567536,981902012702,44113262,11173
0-0_N1440352.bin,24,interleave,3,1815,0.103006,8.030111,0.010762,693788252184,981864194200,44263679,10548
0-0_N1440352.bin,24,interleave,4,1815,0.100868,8.041059,0.010747,694710148319,981900011860,44302049,14339
0-0_N1440352.bin,24,interleave,5,1815,0.099834,8.033436,0.010758,694180345950,981861196400,44191151,11214
0-0_N1440352.bin,24,interleave,6,1815,0.101806,8.038352,0.010751,694368359917,981859119115,44302410,10283
0-0_N1440352.bin,24,interleave,7,1815,0.101282,8.033499,0.010758,694111677960,981810867729,44486212,10752
0-0_N1440352.bin,24,interleave,8,1815,0.099056,8.037950,0.010752,694207433323,981869551435,44280528,11560
0-0_N1440352.bin,24,interleave,9,1815,0.102043,8.040630,0.010748,694464882205,981829676639,44431439,13413
0-0_N1440352.bin,24,interleave,10,1815,0.100276,8.037010,0.010753,694203008208,981881143743,44165185,9134
0-0_N1440352.bin,24,interleave,11,1815,0.100133,8.034205,0.010757,694110151749,981825977768,44205150,10467
0-0_N1440352.bin,24,interleave,12,1815,0.101364,8.043717,0.010744,694770935769,981864418014,44191572,15212
0-0_N1440352.bin,24,interleave,13,1815,0.096692,8.039924,0.010749,694334973398,981890263403,44233020,13163
0-0_N1440352.bin,24,interleave,14,1815,0.101451,8.046072,0.010741,695077363675,981949214996,44133273,8841
0-0_N1440352.bin,24,interleave,15,1815,0.100616,8.030769,0.010761,693653366910,981815636807,44246540,14305
0-0_N1440352.bin,48,membind,1,2411,0.090863,4.177690,0.020686,723558695816,1304867041205,57485592,21930
0-0_N1440352.bin,48,membind,2,2411,0.123509,4.178852,0.020681,723724913254,1304829408356,57294666,16976
0-0_N1440352.bin,48,membind,3,2411,0.122195,4.187414,0.020638,725436495425,1304999268573,57505151,18608
0-0_N1440352.bin,48,membind,4,2411,0.122068,4.175597,0.020697,723369983746,1304746471478,57604284,17288
0-0_N1440352.bin,48,membind,5,2411,0.121724,4.174833,0.020700,723334518823,1304831346623,57721368,17736
0-0_N1440352.bin,48,membind,6,2411,0.123048,4.177482,0.020687,723620541833,1304815402441,57233036,17045
0-0_N1440352.bin,48,membind,7,2411,0.122733,4.169990,0.020725,722493514885,1304792611898,57551213,14082
0-0_N1440352.bin,48,membind,8,2411,0.121193,4.169697,0.020726,722165063851,1304709364846,57595401,18859
0-0_N1440352.bin,48,membind,9,2411,0.125204,4.178877,0.020680,723907649138,1304842760608,58036852,16122
0-0_N1440352.bin,48,membind,10,2411,0.121712,4.179715,0.020676,723945001314,1304806499481,57700925,14063
0-0_N1440352.bin,48,membind,11,2411,0.122740,4.181604,0.020667,724437104225,1304893408555,57630354,13192
0-0_N1440352.bin,48,membind,12,2411,0.121363,4.186390,0.020643,725187673972,1304890975385,57698481,15852
0-0_N1440352.bin,48,membind,13,2411,0.123826,4.172418,0.020712,722914266969,1304824976021,57386646,14864
0-0_N1440352.bin,48,membind,14,2411,0.120323,4.179194,0.020679,723973541388,1304786531219,57707508,20246
0-0_N1440352.bin,48,membind,15,2411,0.121944,4.176792,0.020691,723563298944,1304718959078,57502961,17752
0-0_N1440352.bin,48,interleave,1,2414,0.100580,4.186860,0.020641,725174655093,1306433546755,57799501,16782
0-0_N1440352.bin,48,interleave,2,2414,0.121364,4.227769,0.020441,731809095811,1306395591620,59467060,21999
0-0_N1440352.bin,48,interleave,3,2414,0.120636,4.204512,0.020554,728588078017,1306432418112,60521658,14584
0-0_N1440352.bin,48,interleave,4,2414,0.122027,4.216812,0.020494,730580711723,1306836157027,59096023,14488
0-0_N1440352.bin,48,interleave,5,2414,0.121626,4.202781,0.020563,728160575267,1306373898931,60798649,18076
0-0_N1440352.bin,48,interleave,6,2414,0.119929,4.179179,0.020679,724161671694,1306378664794,59125135,20279
0-0_N1440352.bin,48,interleave,7,2414,0.124910,4.196544,0.020593,727153035380,1306387511512,60756949,19203
0-0_N1440352.bin,48,interleave,8,2414,0.117778,4.189287,0.020629,725682900035,1306582314863,58108302,19439
0-0_N1440352.bin,48,interleave,9,2414,0.122749,4.194859,0.020602,726824474440,1306375056071,58683528,12912
0-0_N1440352.bin,48,interleave,10,2414,0.118832,4.189831,0.020626,725747326612,1306243790746,59057932,17348
0-0_N1440352.bin,48,interleave,11,2414,0.117601,4.178648,0.020682,724177208836,1306160005763,59350151,11667
0-0_N1440352.bin,48,interleave,12,2414,0.122119,4.202897,0.020562,728165906749,1306346695880,59324407,11692
0-0_N1440352.bin,48,interleave,13,2414,0.119706,4.167758,0.020736,722300072979,1306298650145,57568395,18185
0-0_N1440352.bin,48,interleave,14,2414,0.119720,4.190183,0.020625,726035631441,1306175152964,58373112,14968
0-0_N1440352.bin,48,interleave,15,2414,0.119999,4.186816,0.020641,725480997042,1306401108740,57698983,14433
0-0_N201649.bin,1,membind,1,2647,0.025511,9.965269,0.001214,36169316022,200165448564,4014931,29258
0-0_N201649.bin,1,membind,2,2647,0.011410,9.963362,0.001214,36163995286,200165448369,4012889,25088
0-0_N201649.bin,1,membind,3,2647,0.011499,9.963502,0.001214,36164282479,200165448481,3972156,26073
0-0_N201649.bin,1,membind,4,2647,0.011542,9.965227,0.001214,36170607120,200165448410,4027478,24470
0-0_N201649.bin,1,membind,5,2647,0.011533,9.964954,0.001214,36168105955,200165448404,3953502,23377
0-0_N201649.bin,1,membind,6,2647,0.011434,9.969902,0.001214,36185653665,200165448434,4035718,10749
0-0_N201649.bin,1,membind,7,2647,0.011424,9.967006,0.001214,36170916460,200165448444,3977573,42782
0-0_N201649.bin,1,membind,8,2647,0.011605,9.965255,0.001214,36171785788,200165448358,3948332,19261
0-0_N201649.bin,1,membind,9,2647,0.011434,9.966205,0.001214,36181499906,200165448450,3962126,34590
0-0_N201649.bin,1,membind,10,2647,0.011429,9.965451,0.001214,36170961279,200165448446,3941790,23623
0-0_N201649.bin,1,membind,11,2647,0.011464,9.964783,0.001214,36170084622,200165448437,3964814,18353
0-0_N201649.bin,1,membind,12,2647,0.011460,9.967001,0.001214,36176055704,200165448519,4022421,16455
0-0_N201649.bin,1,membind,13,2647,0.011486,9.965458,0.001214,36173494579,200165448553,3967165,21969
0-0_N201649.bin,1,membind,14,2647,0.011595,9.963688,0.001214,36167184737,200165448516,3979324,32664
0-0_N201649.bin,1,membind,15,2647,0.011406,9.965714,0.001214,36173692681,200165448622,3957874,36384
0-0_N201649.bin,1,interleave,1,2647,0.011752,9.957184,0.001215,36142102583,200165448655,3968173,31127
0-0_N201649.bin,1,interleave,2,2647,0.011643,9.966766,0.001214,36178723661,200165448643,3957803,15066
0-0_N201649.bin,1,interleave,3,2647,0.011630,9.965471,0.001214,36170379834,200165448767,3978308,16680
0-0_N201649.bin,1,interleave,4,2647,0.011533,9.967258,0.001214,36173974323,200165448692,4000604,37673
0-0_N201649.bin,1,interleave,5,2647,0.011490,9.965314,0.001214,36173222406,200165448737,4003303,59617
0-0_N201649.bin,1,interleave,6,2647,0.011513,9.967713,0.001214,36183612655,200165448618,3976835,47501
0-0_N201649.bin,1,interleave,7,2647,0.011512,9.964197,0.001214,36170399455,200165448654,3957636,25857
0-0_N201649.bin,1,interleave,8,2647,0.011459,9.964381,0.001214,36174453261,200165448696,3946669,23456
0-0_N201649.bin,1,interleave,9,2647,0.011532,9.967058,0.001214,36179686619,200165448599,3987323,29479
0-0_N201649.bin,1,interleave,10,2647,0.011492,9.968107,0.001214,36185024537,200165448663,3946087,17013
0-0_N201649.bin,1,interleave,11,2647,0.011496,9.951642,0.001216,36124854488,200165448707,4007950,26981
0-0_N201649.bin,1,interleave,12,2647,0.011605,9.970142,0.001214,36193544707,200165448797,3954460,25899
0-0_N201649.bin,1,interleave,13,2647,0.011540,9.950943,0.001216,36123013366,200165448831,3966925,36260
0-0_N201649.bin,1,interleave,14,2647,0.011635,9.969702,0.001214,36191515080,200165448815,3949975,20044
0-0_N201649.bin,1,interleave,15,2647,0.011489,9.950335,0.001216,36119583782,200165448726,3968061,23087
0-0_N201649.bin,8,membind,1,7947,0.011614,10.272126,0.001178,297352891114,601222984455,28160027,18062
0-0_N201649.bin,8,membind,2,7947,0.011483,10.272055,0.001178,297492314714,601227433362,28389328,16185
0-0_N201649.bin,8,membind,3,7947,0.011446,10.274852,0.001178,297620033408,601239773661,28060631,15954
0-0_N201649.bin,8,membind,4,7947,0.011549,10.270810,0.001178,297520653991,601221245108,27757672,26036
0-0_N201649.bin,8,membind,5,7947,0.011350,10.275219,0.001177,297636272337,601223143241,27673292,27543
0-0_N201649.bin,8,membind,6,7947,0.011557,10.274380,0.001178,297584637055,601218392775,27554129,27780
0-0_N201649.bin,8,membind,7,7947,0.011481,10.278012,0.001177,297762777474,601238009350,27513544,26907
0-0_N201649.bin,8,membind,8,7947,0.011617,10.277933,0.001177,297787762534,601223435469,27146500,21180
0-0_N201649.bin,8,membind,9,7947,0.011458,10.275067,0.001178,297713780293,601232157864,27261855,16730
0-0_N201649.bin,8,membind,10,7947,0.011508,10.275336,0.001177,297697223556,601230633261,27074404,18423
0-0_N201649.bin,8,membind,11,7947,0.011542,10.276102,0.001177,297738361364,601234826340,27058727,32520
0-0_N201649.bin,8,membind,12,7947,0.011518,10.277980,0.001177,297762758390,601222898510,26963566,22632
0-0_N201649.bin,8,membind,13,7947,0.011500,10.279050,0.001177,297819969820,601228657062,26400052,20418
0-0_N201649.bin,8,membind,14,7947,0.011493,10.271406,0.001178,297605632556,601223921771,26299381,15126
0-0_N201649.bin,8,membind,15,7947,0.011464,10.275285,0.001177,297740328031,601230868877,25599655,22614
0-0_N201649.bin,8,interleave,1,7949,0.011692,10.277311,0.001177,297743211648,601386259168,24993007,23527
