Matrix,Cores,Process_NUMA_Policy,Run,Iterations,IO_Time,SpMV_Time,Perf_Cycles,Perf_Instructions,Perf_CacheMisses,Perf_dTLBMisses
0-0_N1440352.bin,1,membind,1,369,0.363151,10.031455,36451317960,199309298439,4778678,368501
0-0_N1440352.bin,1,membind,2,369,0.090708,10.033046,36455140412,199309298549,4298126,355882
0-0_N1440352.bin,1,membind,3,369,0.090704,10.037584,36469283667,199309298473,3934999,372160
0-0_N1440352.bin,1,membind,4,369,0.090761,10.035829,36459839769,199309298452,3954297,370235
0-0_N1440352.bin,1,membind,5,369,0.090697,10.038537,36463162987,199309298530,3859025,370512
0-0_N1440352.bin,1,membind,6,369,0.090583,10.038884,36468640052,199309298497,3876015,353708
0-0_N1440352.bin,1,membind,7,369,0.090681,10.037249,36469024567,199309298480,4004558,351762
0-0_N1440352.bin,1,membind,8,369,0.091137,10.032944,36458291967,199309298499,4312565,357902
0-0_N1440352.bin,1,membind,9,369,0.090638,10.041846,36473566461,199309298498,3876128,358510
0-0_N1440352.bin,1,membind,10,369,0.090536,10.032983,36463088909,199309298465,3873435,359258
0-0_N1440352.bin,1,membind,11,369,0.090379,10.034796,36463080159,199309298511,3973650,375691
0-0_N1440352.bin,1,membind,12,369,0.090695,10.030392,36447525796,199309298488,4088940,360846
0-0_N1440352.bin,1,membind,13,369,0.090426,10.033516,36458626488,199309298481,4065551,355499
0-0_N1440352.bin,1,membind,14,369,0.090759,10.029106,36444389134,199309298474,3961169,366882
0-0_N1440352.bin,1,membind,15,369,0.090609,10.028749,36439795124,199309298474,3955343,373374
0-0_N1440352.bin,1,interleave,1,369,0.090638,10.032724,36453921736,199309298585,4627254,426252
0-0_N1440352.bin,1,interleave,2,369,0.090652,10.031321,36449932576,199309298483,4284242,430867
0-0_N1440352.bin,1,interleave,3,369,0.090447,10.041483,36459910754,199309298457,4328136,426738
0-0_N1440352.bin,1,interleave,4,369,0.090709,10.037455,36468237225,199309298512,5184811,428121
0-0_N1440352.bin,1,interleave,5,369,0.091070,10.032668,36453641894,199309298468,4360897,423569
0-0_N1440352.bin,1,interleave,6,369,0.090650,10.032525,36453788817,199309298465,4605266,424801
0-0_N1440352.bin,1,interleave,7,369,0.090913,10.033713,36454814131,199309298465,4297012,419148
0-0_N1440352.bin,1,interleave,8,369,0.090662,10.041215,36474121573,199309298512,4301118,433398
0-0_N1440352.bin,1,interleave,9,369,0.090518,10.035726,36453630940,199309298501,4369170,432672
0-0_N1440352.bin,1,interleave,10,369,0.090618,10.037153,36460986857,199309298594,4491920,424030
0-0_N1440352.bin,1,interleave,11,369,0.090711,10.037176,36459411908,199309298477,4428925,442497
0-0_N1440352.bin,1,interleave,12,369,0.090695,10.039479,36469048650,199309298469,4774558,427512
0-0_N1440352.bin,1,interleave,13,369,0.090795,10.036940,36455402783,199309298504,4512007,425709
0-0_N1440352.bin,1,interleave,14,369,0.090531,10.041868,36473672677,199309298510,4439239,433996
0-0_N1440352.bin,1,interleave,15,369,0.090624,10.040447,36465072211,199309298524,4569541,415861
0-0_N1440352.bin,8,membind,1,713,0.090507,10.201053,294614141913,385267009739,13434825,17241
0-0_N1440352.bin,8,membind,2,713,0.090865,10.195545,294513462451,385269134138,14381893,17666
0-0_N1440352.bin,8,membind,3,713,0.090640,10.185658,294166366227,385247303221,14728496,12281
0-0_N1440352.bin,8,membind,4,713,0.090598,10.189123,294276495378,385268669999,15229504,12680
0-0_N1440352.bin,8,membind,5,713,0.090950,10.180666,293942319125,385260843006,15443370,14240
0-0_N1440352.bin,8,membind,6,713,0.090855,10.178461,293950588543,385257886775,15750232,11397
0-0_N1440352.bin,8,membind,7,713,0.090774,10.176506,293862362539,385251753272,16066198,12606
0-0_N1440352.bin,8,membind,8,713,0.090812,10.174168,293741060993,385255646802,16234759,11250
0-0_N1440352.bin,8,membind,9,713,0.090941,10.171111,293702619871,385252463258,16742760,11326
0-0_N1440352.bin,8,membind,10,713,0.090669,10.169831,293569033673,385252548880,16740916,13474
0-0_N1440352.bin,8,membind,11,713,0.090647,10.169362,293509828732,385251471114,17231181,13470
0-0_N1440352.bin,8,membind,12,713,0.090734,10.165683,293310069183,385242842272,17703926,16868
0-0_N1440352.bin,8,membind,13,713,0.090711,10.169981,293370213473,385244908941,18002145,15514
0-0_N1440352.bin,8,membind,14,713,0.090850,10.173620,293316310808,385254619046,18583524,12638
0-0_N1440352.bin,8,membind,15,713,0.090480,10.178087,293259711263,385263754254,18583341,8149
0-0_N1440352.bin,8,interleave,1,713,0.091219,10.179705,293287834392,385279149333,18997359,9507
0-0_N1440352.bin,8,interleave,2,713,0.090819,10.183128,293325018072,385269814249,19162909,14129
0-0_N1440352.bin,8,interleave,3,713,0.090744,10.186668,293381983824,385286938277,19001363,12111
0-0_N1440352.bin,8,interleave,4,713,0.090888,10.180025,293161359471,385281368195,18892604,15227
0-0_N1440352.bin,8,interleave,5,713,0.090900,10.178612,293128538454,385286889166,18872361,15114
0-0_N1440352.bin,8,interleave,6,713,0.090862,10.173376,292936679395,385283268314,18718528,16041
0-0_N1440352.bin,8,interleave,7,713,0.090893,10.178323,293086281983,385285065400,18597295,13073
0-0_N1440352.bin,8,interleave,8,713,0.090957,10.164663,292727749415,385280612153,18915613,14087
0-0_N1440352.bin,8,interleave,9,713,0.090647,10.176703,293007776899,385284450853,18586489,9135
0-0_N1440352.bin,8,interleave,10,713,0.090871,10.169078,292728157086,385280264039,18597615,15180
0-0_N1440352.bin,8,interleave,11,713,0.091084,10.177258,293043088443,385273327166,18349944,15415
0-0_N1440352.bin,8,interleave,12,713,0.090581,10.154243,292413406710,385273752813,18517866,12259
0-0_N1440352.bin,8,interleave,13,713,0.091012,10.180111,293026264501,385274437244,18202009,11532
0-0_N1440352.bin,8,interleave,14,713,0.090727,10.170714,292805730576,385274067744,18756726,19703
0-0_N1440352.bin,8,interleave,15,713,0.090794,10.175771,292970120120,385280074977,18360041,15505
0-0_N1440352.bin,24,membind,1,1817,0.090652,10.382882,892842831898,983110924287,61025115,16480
0-0_N1440352.bin,24,membind,2,1817,0.115973,10.426699,896534576514,983143339023,61218689,11512
0-0_N1440352.bin,24,membind,3,1817,0.114919,10.436415,897415618475,983496441177,60893446,14674
0-0_N1440352.bin,24,membind,4,1817,0.115277,10.378708,892566594138,983031944310,60894066,15070
0-0_N1440352.bin,24,membind,5,1817,0.114877,10.414393,895546309951,983270119895,60998605,14273
0-0_N1440352.bin,24,membind,6,1817,0.115527,10.443652,898092046166,983287206854,60809979,12843
0-0_N1440352.bin,24,membind,7,1817,0.113844,10.422978,896213073757,983351772499,60765077,13050
0-0_N1440352.bin,24,membind,8,1817,0.114756,10.421308,896033574657,983151945709,60955274,16403
0-0_N1440352.bin,24,membind,9,1817,0.113851,10.398911,894178802288,983119504341,60737971,13643
0-0_N1440352.bin,24,membind,10,1817,0.114538,10.438974,897446795431,983198130202,60966885,16914
0-0_N1440352.bin,24,membind,11,1817,0.115022,10.393033,893694147670,983074246003,61081744,18048
0-0_N1440352.bin,24,membind,12,1817,0.114826,10.413937,895612771207,983203912502,60875746,13379
0-0_N1440352.bin,24,membind,13,1817,0.113508,10.402307,894534048307,983136016049,60720374,14887
0-0_N1440352.bin,24,membind,14,1817,0.114486,10.452959,898977996121,983286863451,61376419,12921
0-0_N1440352.bin,24,membind,15,1817,0.114366,10.397872,894422153757,983109893071,60900096,15614
0-0_N1440352.bin,24,interleave,1,1815,0.103369,10.398935,894603972991,982123219025,60880410,13750
0-0_N1440352.bin,24,interleave,2,1815,0.112413,10.335486,889137534293,981886182760,60652938,14553
0-0_N1440352.bin,24,interleave,3,1815,0.113138,10.386363,893774602912,982049260847,60698095,17256
0-0_N1440352.bin,24,interleave,4,1815,0.113552,10.393573,894588228407,982117364361,60549284,16544
0-0_N1440352.bin,24,interleave,5,1815,0.112684,10.373737,892881953752,982116136281,60810427,15938
0-0_N1440352.bin,24,interleave,6,1815,0.113167,10.298416,886866130144,981735607567,60361144,13157
0-0_N1440352.bin,24,interleave,7,1815,0.113724,10.350455,891517968247,981962172069,60271974,16706
0-0_N1440352.bin,24,interleave,8,1815,0.113479,10.273310,885203146869,981810718826,59861320,13053
0-0_N1440352.bin,24,interleave,9,1815,0.113075,10.347072,891655875555,982002766332,59922442,14095
0-0_N1440352.bin,24,interleave,10,1815,0.113077,10.304188,888183099620,981877169055,59930049,16855
0-0_N1440352.bin,24,interleave,11,1815,0.112761,10.352653,892413475699,982040188085,59589790,16397
0-0_N1440352.bin,24,interleave,12,1815,0.112435,10.291725,887204738288,981874981631,59344489,11376
0-0_N1440352.bin,24,interleave,13,1815,0.112567,10.353235,892378200781,982071115337,59263412,14240
0-0_N1440352.bin,24,interleave,14,1815,0.113681,10.287613,887120555514,981898074338,58818319,12073
0-0_N1440352.bin,24,interleave,15,1815,0.112576,10.366234,894082718419,982111155434,58667306,15248
0-0_N1440352.bin,48,membind,1,2411,0.103255,10.473790,1778255646450,1305074060539,101933483,26718
0-0_N1440352.bin,48,membind,2,2411,0.139857,10.416886,1769072221000,1304886937101,98420353,26498
0-0_N1440352.bin,48,membind,3,2411,0.140393,10.398468,1766382940217,1305317110611,96098207,26803
0-0_N1440352.bin,48,membind,4,2411,0.139442,10.429473,1771173791972,1305044438638,94047897,22624
0-0_N1440352.bin,48,membind,5,2411,0.140025,10.397163,1766298657011,1305079761546,91192141,34173
0-0_N1440352.bin,48,membind,6,2411,0.140379,10.421440,1770530517595,1305108171765,88898176,26519
0-0_N1440352.bin,48,membind,7,2411,0.139433,10.503177,1784236545021,1305210890215,85874791,23503
0-0_N1440352.bin,48,membind,8,2411,0.140443,10.406210,1767799545211,1304798377123,82742021,24084
0-0_N1440352.bin,48,membind,9,2411,0.141232,10.521132,1787157141396,1305264620214,81653681,25072
0-0_N1440352.bin,48,membind,10,2411,0.139916,10.417208,1770570223796,1305176184758,80689847,23464
0-0_N1440352.bin,48,membind,11,2411,0.139623,10.450892,1777458545625,1304837926657,82248075,29209
0-0_N1440352.bin,48,membind,12,2411,0.139631,10.367290,1765661544334,1305153015972,86182474,29864
0-0_N1440352.bin,48,membind,13,2411,0.139932,10.382619,1767022530200,1304574570299,86917759,34915
0-0_N1440352.bin,48,membind,14,2411,0.140478,10.398562,1768195938487,1304560623791,81075013,33176
0-0_N1440352.bin,48,membind,15,2411,0.139555,10.501784,1785947864319,1304729739292,80967119,20578
0-0_N1440352.bin,48,interleave,1,2414,0.113972,10.366120,1765206341304,1306137356850,81145194,27649
0-0_N1440352.bin,48,interleave,2,2414,0.140110,10.357751,1762357776086,1306778277530,82549589,34901
0-0_N1440352.bin,48,interleave,3,2414,0.137676,10.425739,1773495516757,1306978038722,86355225,44260
0-0_N1440352.bin,48,interleave,4,2414,0.137210,10.344713,1760016575300,1306725990573,84575444,41672
0-0_N1440352.bin,48,interleave,5,2414,0.138861,10.433627,1773356686119,1306894786988,78978006,34606
0-0_N1440352.bin,48,interleave,6,2414,0.138810,10.365639,1761936805294,1306682701959,80539859,40486
0-0_N1440352.bin,48,interleave,7,2414,0.137649,10.451152,1776937814453,1306847157891,82991653,29427
0-0_N1440352.bin,48,interleave,8,2414,0.138354,10.415003,1770714159305,1306751780289,86603874,28846
0-0_N1440352.bin,48,interleave,9,2414,0.137348,10.392290,1766297841760,1306452770134,89588737,26715
0-0_N1440352.bin,48,interleave,10,2414,0.139075,10.419226,1771050290798,1306491021581,93255732,31217
0-0_N1440352.bin,48,interleave,11,2414,0.137745,10.375705,1763184595830,1306280210737,95531993,33036
0-0_N1440352.bin,48,interleave,12,2414,0.139001,10.435322,1773562753352,1306590574422,100922820,29496
0-0_N1440352.bin,48,interleave,13,2414,0.138206,10.376424,1764300505917,1306124578245,103179831,26178
0-0_N1440352.bin,48,interleave,14,2414,0.138198,10.422607,1771432897369,1306547859518,105474912,26312
0-0_N1440352.bin,48,interleave,15,2414,0.138780,10.375746,1763855941793,1306166458052,108013638,23915
0-0_N201649.bin,1,membind,1,2647,0.148684,10.057640,36470451560,200165448941,4618608,38644
0-0_N201649.bin,1,membind,2,2647,0.012630,10.068677,36507831901,200165448756,4578188,22995
0-0_N201649.bin,1,membind,3,2647,0.012547,10.067431,36511726459,200165448708,4761284,57239
0-0_N201649.bin,1,membind,4,2647,0.012652,10.069281,36512057904,200165448692,4814695,30132
0-0_N201649.bin,1,membind,5,2647,0.012683,10.069835,36511142668,200165448645,4736604,34282
0-0_N201649.bin,1,membind,6,2647,0.012599,10.070013,36517606667,200165448579,4584342,23110
0-0_N201649.bin,1,membind,7,2647,0.012612,10.067857,36505394385,200165448527,4845486,53059
0-0_N201649.bin,1,membind,8,2647,0.012622,10.072196,36513055905,200165448511,4699379,57805
0-0_N201649.bin,1,membind,9,2647,0.012648,10.075421,36522130775,200165448404,4829795,39388
0-0_N201649.bin,1,membind,10,2647,0.012681,10.068642,36506090240,200165448509,4703161,38816
0-0_N201649.bin,1,membind,11,2647,0.012679,10.069578,36508508243,200165448456,4759410,47093
0-0_N201649.bin,1,membind,12,2647,0.012541,10.073507,36523804596,200165448526,4698003,26998
0-0_N201649.bin,1,membind,13,2647,0.012575,10.067334,36505028531,200165448887,4729730,33721
0-0_N201649.bin,1,membind,14,2647,0.012570,10.065433,36503289288,200165449132,4678378,43255
0-0_N201649.bin,1,membind,15,2647,0.012678,10.057660,36494321252,200165446943,4450449,31720
0-0_N201649.bin,1,interleave,1,2647,0.012899,10.068300,36515382829,200165447408,5363455,30674
0-0_N201649.bin,1,interleave,2,2647,0.012624,10.072216,36520902359,200165447725,4881580,28736
0-0_N201649.bin,1,interleave,3,2647,0.012654,10.072950,36515322197,200165448050,4900545,70542
0-0_N201649.bin,1,interleave,4,2647,0.012639,10.074528,36520421973,200165448468,4892193,46160
0-0_N201649.bin,1,interleave,5,2647,0.012736,10.070302,36517929352,200165448516,4857594,66979
0-0_N201649.bin,1,interleave,6,2647,0.012588,10.068032,36510598747,200165448493,5060856,57929
0-0_N201649.bin,1,interleave,7,2647,0.012553,10.074603,36533055691,200165448503,4955492,48296
0-0_N201649.bin,1,interleave,8,2647,0.012677,10.065074,36498017243,200165448530,4752881,34904
0-0_N201649.bin,1,interleave,9,2647,0.012621,10.070844,36519920514,200165448417,4912905,50955
0-0_N201649.bin,1,interleave,10,2647,0.012589,10.074645,36531255351,200165448336,4884184,64917
0-0_N201649.bin,1,interleave,11,2647,0.012718,10.073443,36525210306,200165448320,4993008,36868
0-0_N201649.bin,1,interleave,12,2647,0.012620,10.067016,36506125406,200165448158,4931434,67619
0-0_N201649.bin,1,interleave,13,2647,0.012677,10.066769,36502048069,200165448152,4791194,46512
0-0_N201649.bin,1,interleave,14,2647,0.012614,10.073118,36522813318,200165447972,4989066,39729
0-0_N201649.bin,1,interleave,15,2647,0.012674,10.068424,36509112861,200165448068,4882289,66859
0-0_N201649.bin,8,membind,1,7947,0.012667,10.181474,294369966541,601232389661,29033002,13262
0-0_N201649.bin,8,membind,2,7947,0.012684,10.186696,294444221902,601229027821,29436247,19301
0-0_N201649.bin,8,membind,3,7947,0.012579,10.185916,294447238678,601230153654,29490280,39416
0-0_N201649.bin,8,membind,4,7947,0.012609,10.186138,294452182718,601229221659,29641028,13456
0-0_N201649.bin,8,membind,5,7947,0.012690,10.191285,294599008658,601232283053,30067949,44591
0-0_N201649.bin,8,membind,6,7947,0.012631,10.193729,294669515509,601230909594,29557494,13847
0-0_N201649.bin,8,membind,7,7947,0.012603,10.196536,294802250459,601231411712,29624269,21036
0-0_N201649.bin,8,membind,8,7947,0.012714,10.191422,294611777481,601228985788,29482450,13223
0-0_N201649.bin,8,membind,9,7947,0.012558,10.186844,294480866310,601233061044,29662405,41827
0-0_N201649.bin,8,membind,10,7947,0.012666,10.183850,294383187360,601234019819,29536552,15347
0-0_N201649.bin,8,membind,11,7947,0.012658,10.181503,294293572702,601225425471,29900492,27152
0-0_N201649.bin,8,membind,12,7947,0.012636,10.179655,294234629655,601228278675,29618707,20508
0-0_N201649.bin,8,membind,13,7947,0.012673,10.179776,294266242861,601229162830,29562212,14017
0-0_N201649.bin,8,membind,14,7947,0.012764,10.177840,294229151187,601230718571,29654735,14154
0-0_N201649.bin,8,membind,15,7947,0.012596,10.178835,294261684902,601228766006,29475335,24369
0-0_N201649.bin,8,interleave,1,7949,0.012921,10.182085,294307648606,601384433894,29898727,24585
0-0_N201649.bin,8,interleave,2,7949,0.012629,10.186584,294481135531,601383588584,29924430,18097
0-0_N201649.bin,8,interleave,3,7949,0.012635,10.185660,294459294766,601385804148,29669632,30655
0-0_N201649.bin,8,interleave,4,7949,0.012683,10.191200,294605202843,601384371578,30311557,19412
0-0_N201649.bin,8,interleave,5,7949,0.012608,10.190714,294588736210,601384005394,29943407,19664
0-0_N201649.bin,8,interleave,6,7949,0.012663,10.195294,294733458065,601383097417,30162065,29606
0-0_N201649.bin,8,interleave,7,7949,0.012572,10.199533,294844203119,601382956279,30306661,23629
0-0_N201649.bin,8,interleave,8,7949,0.012679,10.196162,294775553641,601380644399,29916847,12877
0-0_N201649.bin,8,interleave,9,7949,0.012658,10.190499,294577040860,601384217967,29781047,13436
0-0_N201649.bin,8,interleave,10,7949,0.012618,10.187719,294518632106,601381182069,29959201,24614
0-0_N201649.bin,8,interleave,11,7949,0.012670,10.183475,294379236488,601381469718,30108351,17590
0-0_N201649.bin,8,interleave,12,7949,0.012691,10.182891,294386213826,601383149370,30102198,20012
0-0_N201649.bin,8,interleave,13,7949,0.012638,10.182165,294366997338,601381984265,30126099,13128
0-0_N201649.bin,8,interleave,14,7949,0.012605,10.181080,294310565302,601380649676,30015124,19259
0-0_N201649.bin,8,interleave,15,7949,0.012685,10.178315,294229266465,601382877857,29966796,19854
