Matrix,Cores,Process_NUMA_Policy,Run,Iterations,IO_Time,SpMV_Time,Perf_Cycles,Perf_Instructions,Perf_CacheMisses,Perf_dTLBMisses
0-0_N1440352.bin,1,membind,1,369,0.387204,10.039672,36397845317,199309288075,3557930,402039
0-0_N1440352.bin,1,membind,2,369,0.090913,10.041517,36405283617,199309288059,3633466,397257
0-0_N1440352.bin,1,membind,3,369,0.090733,10.041065,36408535265,199309288065,3523131,386938
0-0_N1440352.bin,1,membind,4,369,0.090615,10.039831,36397607194,199309288075,3618713,370852
0-0_N1440352.bin,1,membind,5,369,0.090672,10.045954,36418851756,199309288104,3945599,422487
0-0_N1440352.bin,1,membind,6,369,0.090562,10.042098,36405577356,199309288078,3677884,423142
0-0_N1440352.bin,1,membind,7,369,0.090970,10.045291,36413403581,199309288082,3664669,406589
0-0_N1440352.bin,1,membind,8,369,0.091053,10.036149,36385246849,199309288071,3441650,412425
0-0_N1440352.bin,1,membind,9,369,0.090769,10.044555,36398583727,199309288051,3596921,395322
0-0_N1440352.bin,1,membind,10,369,0.090627,10.048252,36403008308,199309288076,3525698,416939
0-0_N1440352.bin,1,membind,11,369,0.090566,10.046513,36399045496,199309288081,3554734,391269
0-0_N1440352.bin,1,membind,12,369,0.090194,10.043856,36390316703,199309288049,3567809,381978
0-0_N1440352.bin,1,membind,13,369,0.090961,10.048268,36396705387,199309288069,3562885,393715
0-0_N1440352.bin,1,membind,14,369,0.090590,10.043945,36384466570,199309288063,3541278,381739
0-0_N1440352.bin,1,membind,15,369,0.090598,10.049284,36400093919,199309288088,3554195,407551
0-0_N1440352.bin,1,interleave,1,369,0.089785,10.035009,36359033008,199309288018,3393646,460576
0-0_N1440352.bin,1,interleave,2,369,0.089004,10.051714,36391283576,199309288065,3625940,435543
0-0_N1440352.bin,1,interleave,3,369,0.089035,10.044167,36391989027,199309288136,3660264,476027
0-0_N1440352.bin,1,interleave,4,369,0.089377,10.041737,36387670454,199309288050,3591784,470718
0-0_N1440352.bin,1,interleave,5,369,0.089687,10.041992,36386134524,199309288045,3692356,444826
0-0_N1440352.bin,1,interleave,6,369,0.089226,10.043777,36392822728,199309288044,3628568,463232
0-0_N1440352.bin,1,interleave,7,369,0.088803,10.041109,36384521092,199309288075,3625667,452713
0-0_N1440352.bin,1,interleave,8,369,0.089266,10.045078,36395720845,199309288050,3654915,475443
0-0_N1440352.bin,1,interleave,9,369,0.089159,10.043152,36389799607,199309288044,3660859,449120
0-0_N1440352.bin,1,interleave,10,369,0.088785,10.046803,36400488767,199309288056,3655821,448775
0-0_N1440352.bin,1,interleave,11,369,0.088911,10.044818,36393213861,199309288055,3709001,463867
