Matrix,Cores,Process_NUMA_Policy,Run,Iterations,IO_Time,SpMV_Time,Perf_Cycles,Perf_Instructions,Perf_CacheMisses,Perf_dTLBMisses
0-0_N1440352.bin,1,membind,1,369,0.098474,9.976771,36208926899,199309298732,3362393,351423
0-0_N1440352.bin,1,membind,2,369,0.087913,9.974140,36207485088,199309298746,3920696,347193
0-0_N1440352.bin,1,membind,3,369,0.087861,9.977221,36213679942,199309298785,3693240,342144
0-0_N1440352.bin,1,membind,4,369,0.087918,9.980718,36224312688,199309298757,4337678,332615
0-0_N1440352.bin,1,membind,5,369,0.087904,9.975579,36196657412,199309298745,4063179,339538
0-0_N1440352.bin,1,membind,6,369,0.087469,9.973691,36205998539,199309298755,3981009,336697
0-0_N1440352.bin,1,membind,7,369,0.087760,9.976908,36207836103,199309298748,3871773,353749
0-0_N1440352.bin,1,membind,8,369,0.087933,9.979969,36226759202,199309298780,4337600,348605
0-0_N1440352.bin,1,membind,9,369,0.087675,9.977844,36216294909,199309298759,4252478,353068
0-0_N1440352.bin,1,membind,10,369,0.087779,9.980057,36221107127,199309298784,3622529,349468
0-0_N1440352.bin,1,membind,11,369,0.087609,9.975876,36209848783,199309298758,3898422,358032
0-0_N1440352.bin,1,membind,12,369,0.087680,9.973753,36206035400,199309298798,4250756,350078
0-0_N1440352.bin,1,membind,13,369,0.087544,9.979786,36216683909,199309298768,3416305,347643
0-0_N1440352.bin,1,membind,14,369,0.087634,9.976393,36210193219,199309298765,3732388,349861
0-0_N1440352.bin,1,membind,15,369,0.087793,9.975501,36208003085,199309298766,3535657,349972
0-0_N1440352.bin,1,interleave,1,369,0.088379,9.974138,36210176663,199309298308,3537651,386174
0-0_N1440352.bin,1,interleave,2,369,0.087707,9.968185,36213866930,199309298322,3441454,371920
0-0_N1440352.bin,1,interleave,3,369,0.087783,9.962327,36200133428,199309298376,4146649,380614
0-0_N1440352.bin,1,interleave,4,369,0.087692,9.968943,36217688298,199309298382,3593589,376578
0-0_N1440352.bin,1,interleave,5,369,0.087929,9.963344,36202938300,199309298376,4480174,373170
0-0_N1440352.bin,1,interleave,6,369,0.087876,9.964801,36209328328,199309298342,3932290,375014
0-0_N1440352.bin,1,interleave,7,369,0.087835,9.966803,36207994242,199309298473,4224585,385484
0-0_N1440352.bin,1,interleave,8,369,0.087897,9.970391,36218498614,199309298446,3350400,372245
0-0_N1440352.bin,1,interleave,9,369,0.088085,9.962480,36199957725,199309298381,4283656,379508
0-0_N1440352.bin,1,interleave,10,369,0.087872,9.968449,36216846450,199309298394,3700711,385031
0-0_N1440352.bin,1,interleave,11,369,0.087803,9.970236,36203588534,199309298408,3987880,370429
0-0_N1440352.bin,1,interleave,12,369,0.087729,9.972361,36224220866,199309298406,3302807,371028
0-0_N1440352.bin,1,interleave,13,369,0.087499,9.961555,36198323944,199309298392,4350483,385344
0-0_N1440352.bin,1,interleave,14,369,0.087646,9.963489,36204474358,199309298412,3123117,374419
0-0_N1440352.bin,1,interleave,15,369,0.088112,9.955088,36196507171,199309293285,3046887,380154
0-0_N1440352.bin,8,membind,1,713,0.087336,10.280186,296842042013,385287031688,12138895,12282
0-0_N1440352.bin,8,membind,2,713,0.087709,10.274486,296722243881,385280784535,12403442,8633
