Threads,Env,Function,BestRate_MBs,AvgTime,MinTime,MaxTime
48,Native,Copy,61923.3,0.111394,0.111126,0.111702
48,Native,Scale,61896.4,0.111325,0.111174,0.111513
48,Native,Add,70279.8,0.147114,0.146869,0.147658
48,Native,Triad,70507.8,0.146606,0.146394,0.146878
48,SME,Copy,60713.7,0.113554,0.113340,0.113983
48,SME,Scale,60688.5,0.113638,0.113387,0.114981
48,SME,Add,68625.7,0.150852,0.150409,0.151225
48,SME,Triad,68761.5,0.150396,0.150112,0.150735
48,SME+SEV,Copy,60670.3,0.113809,0.113421,0.117716
48,SME+SEV,Scale,60715.2,0.113842,0.113337,0.114319
48,SME+SEV,Add,68578.3,0.151182,0.150513,0.152193
48,SME+SEV,Triad,68751.3,0.150509,0.150134,0.150896
